time = 13.367	Re = 10	rotation = -15.7498
-0.490525	-0.189224	6070	
-0.490184	-0.193519	6070	
-0.462956	-0.190284	6067	
-0.425446	-0.182802	1752	
-0.333851	-0.157782	3075	
-0.308863	-0.153629	2048	
-0.190264	-0.114339	3980	
-0.150396	-0.073134	6168	
-0.104513	0.106235	5450	
-0.147514	0.230723	8976	
-0.234160	0.580348	1334	
-0.717146	0.383668	1901	
-0.724298	0.323321	1488	
-0.727098	0.343047	1075	
-0.727134	0.230515	2089	
-0.782189	0.365711	631	
-0.225460	0.596955	6422	
-0.666932	-0.105138	8302	
-0.038550	0.623550	426	
0.263930	0.479642	6618	
0.425115	0.628756	1978	
0.736520	0.518846	6479	
-0.554400	0.008827	3177	
-0.377122	0.443410	514	
-0.947910	-0.038480	9789	
-0.256106	0.412410	7572	
-0.659034	0.352227	1142	
-0.015851	0.284374	4616	
0.657880	0.689873	10505	
-0.237669	0.059407	7477	
-0.689206	-0.055363	1915	
-0.151427	0.395640	1930	
-0.611502	0.144062	7409	
-0.754247	0.522136	892	
-0.182887	0.875555	876	
-0.656572	0.554168	2625	
-0.451188	0.479596	4160	
-0.836748	0.243921	10841	
-0.730412	0.212393	4371	
-0.356916	0.287322	3245	
-0.678964	0.499752	6036	
-0.398364	0.345698	4928	
-0.200379	0.189880	10699	
-0.579632	0.289729	10994	
-0.227002	0.304597	10661	
-0.161080	0.283441	7230	
-0.101177	0.211644	5484	
-0.079800	0.155476	3434	
-0.079478	0.117955	6812	
-0.085919	0.097675	5185	
-0.083216	0.104842	5271	
-0.077847	0.134312	2411	
-0.086822	0.180339	4008	
-0.131363	0.254588	10191	
-0.204962	0.309524	9793	
-0.219669	0.069046	2613	
-0.404141	0.174325	1229	
-0.369245	0.360303	3918	
-0.307224	0.560405	10792	
-0.652177	0.365731	11067	
-0.435831	0.209575	2923	
-0.795928	0.361767	631	
0.176115	0.580367	8743	
-0.022669	0.730812	2409	
-0.477658	0.759442	9514	
-0.698262	0.412161	1273	
-0.614887	-0.109518	7323	
-0.853711	-0.272530	6414	
-0.661693	-0.006167	9080	
-0.433012	-0.140806	3587	
-0.339289	0.011864	10009	
-0.505244	-0.070800	4722	
0.800558	0.450611	869	
-0.571015	0.728796	10930	
-0.607598	0.212583	1377	
