time = 5.001	Re = 1	rotation = 4.40096e-10
-0.770457	0.536893	212	
0.744643	-0.040787	1254	
-0.080256	-0.724831	1284	
0.248147	0.527220	925	
0.092985	0.573637	3469	
0.604759	-0.382024	1614	
0.802441	0.576945	3289	
0.551672	0.704892	2610	
0.647245	-0.442133	2398	
-0.563559	-0.265018	1514	
-0.174927	-0.153394	460	
0.650190	-0.580683	2408	
0.992298	-0.015499	1334	
-0.487054	0.372439	1625	
-0.568252	-0.326650	1963	
0.889196	0.202707	368	
-0.279947	-0.728984	1656	
0.136716	0.519692	2461	
0.185387	-0.150056	487	
0.839503	-0.209637	1714	
0.865205	0.120440	2968	
0.341668	-0.015035	1429	
0.705547	-0.527051	2183	
0.726940	0.270490	2994	
-0.494571	0.254594	1145	
-0.466288	-0.553701	982	
-0.525490	0.220944	1699	
0.922446	-0.193320	1915	
0.393850	-0.072504	2062	
0.175635	-0.309931	1610	
0.182230	-0.252344	3165	
-0.865625	0.423329	2840	
0.392642	-0.243991	2116	
-0.316431	-0.576550	2772	
-0.002137	-0.784793	1715	
-0.234156	-0.683557	1449	
0.277253	0.372395	1467	
-0.172124	-0.661625	2955	
-0.607280	-0.342668	1981	
0.417706	0.348059	1310	
0.350579	-0.716577	2237	
-0.476558	-0.331433	1852	
-0.267629	-0.659723	748	
0.631468	-0.518855	1998	
0.140071	-0.331810	1651	
0.342530	0.202511	2214	
0.700082	0.348890	1498	
0.336297	0.827120	901	
-0.528494	0.788261	3358	
0.066630	0.541342	1658	
-0.381563	0.855832	3357	
0.791803	0.406379	2302	
-0.591147	-0.218948	2326	
-0.478346	-0.413447	725	
0.716301	-0.328821	1631	
-0.590583	-0.042082	541	
0.257213	0.170182	2923	
-0.917122	0.355882	3221	
0.321718	-0.725573	2155	
0.013383	-0.233992	2026	
0.596547	-0.351002	2396	
0.205379	-0.372409	644	
0.043402	-0.815723	406	
0.259530	0.843810	1701	
-0.627709	0.127697	687	
-0.564610	-0.170100	1904	
-0.236459	-0.219215	1206	
0.369779	-0.079835	2062	
-0.644018	0.191282	2309	
0.347398	-0.121946	1838	
0.922255	0.126416	3191	
0.172235	-0.161146	456	
0.077636	0.465780	3083	
0.920441	-0.054919	3075	
0.506093	-0.493210	1119	
-0.209867	-0.227759	1206	
-0.698979	-0.055843	881	
0.395213	0.378846	1114	
0.588963	-0.395458	2016	
0.165120	-0.680914	1397	
0.535120	0.812189	272	
0.386863	0.239969	692	
-0.497515	0.173601	1178	
0.212669	0.529506	1030	
0.068057	-0.389622	1920	
-0.301854	0.908170	3292	
0.109975	0.928129	3283	
0.773298	0.535587	3300	
0.953266	-0.052505	603	
0.742507	-0.523106	2150	
0.666932	-0.273035	769	
-0.241311	-0.561274	658	
0.243632	-0.163360	2949	
-0.197092	-0.191014	2669	
-0.546473	0.133250	1914	
0.150418	-0.688862	3287	
0.723166	-0.285652	1779	
0.380065	-0.637561	1159	
0.297261	-0.300299	2458	
0.669680	0.377735	1810	
-0.412176	-0.531177	790	
-0.062429	-0.781498	1570	
-0.568419	-0.486663	1486	
0.516585	-0.438673	1316	
0.139997	-0.352429	1651	
0.494189	0.802085	422	
0.225348	0.867204	3059	
-0.595317	-0.033564	608	
0.744736	0.114190	2046	
-0.353449	-0.490986	762	
0.690152	-0.229396	637	
0.573794	0.630302	2356	
-0.021975	0.935109	3351	
-0.556906	-0.427972	2207	
0.841005	0.265727	3098	
-0.116198	0.961186	2695	
-0.136817	0.603112	2961	
0.868012	-0.220991	1909	
0.910677	0.162625	2853	
0.518680	-0.712201	2964	
-0.593470	0.717532	336	
-0.508115	0.763766	3365	
0.332951	0.462596	2031	
0.108898	-0.350780	1445	
-0.623183	0.037016	566	
0.041295	-0.266228	3489	
0.907629	0.045066	2320	
-0.693364	-0.049523	881	
0.297455	-0.315151	2458	
0.232068	-0.723480	1183	
0.160651	0.158711	1622	
0.559508	-0.547864	2072	
-0.037044	-0.678640	1373	
-0.485193	-0.458147	1093	
0.756684	0.097077	1841	
0.635271	0.517829	2423	
0.900201	0.124543	3433	
0.767946	0.355441	2096	
0.135962	-0.191511	455	
0.120544	0.402227	210	
0.103121	-0.282758	3511	
-0.518616	0.409632	2523	
0.547891	-0.559857	1791	
0.469618	0.006609	1186	
-0.107084	0.930034	796	
0.035773	0.702679	3439	
-0.555327	-0.485814	1286	
-0.431263	0.390190	2368	
0.448438	-0.486925	936	
-0.373892	0.453393	1008	
0.719863	0.340570	1498	
0.510164	-0.438381	1316	
-0.480835	-0.390191	725	
0.463379	-0.673731	1872	
-0.502005	0.354306	1404	
-0.250023	0.880015	2789	
0.222847	-0.122485	979	
-0.418361	-0.430047	849	
0.341663	0.311240	800	
-0.167040	-0.278000	314	
-0.332961	-0.583676	1084	
-0.564869	-0.184225	1904	
-0.481666	0.423681	2393	
0.089260	0.284076	568	
-0.236998	-0.680733	1449	
0.344865	-0.286096	2403	
-0.130122	-0.698553	949	
0.361506	0.864300	514	
-0.050574	-0.692501	1020	
