time = 50,Re = 1
0.349333,-0.554465,3278
0.456024,0.501108,3748
-0.661514,0.207077,2996
-0.055998,-0.712939,5964
0.733589,0.016196,2726
-0.336359,0.69699,6612
-0.681749,-0.37035,3745
0.432825,-0.670069,4857
0.694301,0.432813,4367
-0.582986,0.606291,2014
-0.677726,-0.532625,4765
0.442273,-0.764983,2932
0.850876,0.310695,3104
-0.21272,0.90923,5246
-0.948592,0.060173,6343
-0.424302,-0.875456,6454
0.007189,-0.403367,3589
-0.10046,-0.386041,752
0.048858,-0.400182,3792
0.210219,-0.346797,581
0.355161,-0.197237,4326
0.382665,-0.102376,4705
0.342827,-0.159493,3567
0.245804,-0.269844,469
0.057091,-0.347391,2411
-0.159977,-0.296638,2876
-0.303347,-0.101458,5469
-0.288957,0.092424,6450
-0.25092,0.114638,320
0.143776,-0.177813,425
-0.471699,0.228762,2940
0.5109,-0.196554,2086
-0.189511,0.597258,6438
-0.41238,-0.412746,5733
0.577664,-0.166807,4082
-0.189468,0.664992,1575
-0.519703,-0.372611,1378
0.551531,-0.361477,4039
0.198766,0.71092,5360
-0.682878,-0.151345,2291
0.325261,-0.643199,1371
0.599087,0.435015,1349
-0.676429,0.352203,5828
-0.288535,-0.729881,3416
0.759682,-0.268751,2711
0.204078,0.828449,6126
-0.84502,0.091868,2539
-0.17392,-0.854577,2509
0.845932,-0.290853,4440
0.438845,0.807456,5735
-0.757319,0.55645,6529
-0.797132,-0.538813,1366
0.184306,-0.967631,6558
-0.413718,-0.074717,1092
-0.414102,-0.047451,5894
-0.408364,-0.036839,5534
-0.394946,-0.056917,5542
-0.347822,-0.17691,4061
-0.132955,-0.370935,906
0.195954,-0.35297,666
0.366908,-0.156338,4010
0.343505,-0.166459,3567
0.199631,-0.304859,480
-0.045299,-0.34482,2504
-0.268822,-0.189564,6620
-0.304894,0.058282,563
-0.245776,0.149949,2462
-0.088236,-0.220998,363
-0.403468,0.331221,2080
0.522033,-0.164162,6133
-0.241755,0.547531,3621
-0.266754,-0.521358,1474
