Time	U_x	U_y	P	Max.Res.
0.241	-0.09550023942	0.09175456293	60.22800959	1.038426308
0.242	-0.09612120107	0.09241152167	60.4779854	1.535728185
0.243	-0.09674083622	0.09306754266	60.72795926	0.6576175516
0.244	-0.09735905942	0.0937225537	60.97793111	0.64050693
0.245	-0.09797578888	0.09437648482	61.22790093	1.206684912
0.246	-0.09859094661	0.09502926847	61.47786871	0.6333394638
0.247	-0.09920445871	0.09568083963	61.72783447	0.8974032755
0.248	-0.09981625543	0.09633113595	61.97779823	3.53834511
0.249	-0.1004262714	0.09698009785	62.22776005	1.459503507
0.25	-0.1010344457	0.09762766861	62.47771998	3.183754068
0.251	-0.1016407219	0.0982737945	62.72767812	1.229471094
0.252	-0.1022450483	0.09891842478	62.97763457	1.109193973
0.253	-0.1028473779	0.09956151184	63.22758944	2.043641661
0.254	-0.1034476684	0.1002030112	63.47754286	1.832107353
0.255	-0.1040458821	0.1008428815	63.72749498	0.9702183766
0.256	-0.1046419863	0.1014810848	63.97744596	1.227564081
0.257	-0.1052359528	0.102117586	64.22739598	1.6176696
0.258	-0.1058277582	0.1027523536	64.47734522	0.73790802
0.259	-0.1064173836	0.1033853591	64.72729387	0.8399980738
0.26	-0.1070048149	0.1040165771	64.97724216	1.401514646
0.261	-0.1075900421	0.1046459856	65.22719028	0.5244303915
0.262	-0.1081730599	0.1052735655	65.47713848	0.949350648
0.263	-0.108753867	0.1058993009	65.72708697	0.7341005951
0.264	-0.1093324664	0.1065231788	65.977036	2.376717012
0.265	-0.1099088649	0.1071451892	66.22698581	1.214748402
0.266	-0.1104830734	0.1077653249	66.47693665	1.263716268
0.267	-0.1110551062	0.1083835816	66.72688877	2.205048949
0.268	-0.1116249813	0.1089999575	66.97684242	1.46448427
0.269	-0.1121927201	0.1096144537	67.22679785	1.524725778
0.27	-0.112758347	0.1102270734	67.47675532	1.618763914
0.271	-0.1133218897	0.1108378226	67.72671509	1.278375701
0.272	-0.1138833784	0.1114467092	67.9766774	1.72069261
0.273	-0.1144428462	0.1120537437	68.22664251	0.7854639623
0.274	-0.1150003286	0.1126589382	68.47661065	0.4889954891
0.275	-0.1155558633	0.1132623071	68.72658208	0.6398104201
0.276	-0.1161094902	0.1138638664	68.97655702	0.8396166798
0.277	-0.116661251	0.1144636339	69.22653571	1.619211398
0.278	-0.1172111893	0.115061629	69.47651837	0.5099664477
0.279	-0.11775935	0.1156578723	69.72650522	0.471663307
0.28	-0.1183057797	0.116252386	69.97649646	0.3367758501
0.281	-0.1188505259	0.1168451935	70.2264923	0.3677444317
0.282	-0.1193936373	0.1174363189	70.47649293	0.4150814421
0.283	-0.1199351634	0.1180257877	70.72649852	0.5650919473
0.284	-0.1204751543	0.1186136259	70.97650925	1.022293494
0.285	-0.1210136608	0.1191998605	71.22652528	1.225077859
0.286	-0.1215507341	0.1197845189	71.47654676	0.6530549181
0.287	-0.1220864254	0.1203676288	71.72657382	0.6185892225
0.288	-0.1226207862	0.1209492188	71.97660659	1.035352125
0.289	-0.1231538678	0.1215293172	72.22664517	0.5078191564
0.29	-0.1236857215	0.1221079529	72.47668968	0.9887075451
0.291	-0.1242163982	0.1226851545	72.7267402	2.382396558
0.292	-0.1247459484	0.1232609509	72.9767968	1.47025594
0.293	-0.125274422	0.1238353706	73.22685955	0.8331319151
0.294	-0.1258018685	0.1244084421	73.47692848	0.5693373251
0.295	-0.1263283365	0.1249801935	73.72700365	1.038957698
0.296	-0.1268538735	0.1255506527	73.97708506	1.092405022
0.297	-0.1273785266	0.1261198468	74.22717273	6.063230494
0.298	-0.1279023414	0.1266878029	74.47726665	1.178843032
0.299	-0.1284253626	0.1272545472	74.7273668	1.987966541
0.3	-0.1289476337	0.1278201053	74.97747315	0.7181016588
0.301	-0.129469197	0.1283845024	75.22758566	1.911485878
0.302	-0.1299900933	0.1289477627	75.47770427	0.7110365634
0.303	-0.1305103623	0.1295099099	75.72782891	2.135250708
0.304	-0.1310300422	0.1300709668	75.9779595	1.203949864
0.305	-0.1315491695	0.1306309555	76.22809595	13.48690357
0.306	-0.1320677795	0.131189897	76.47823814	1.663062062
0.307	-0.1325859055	0.1317478112	76.72838596	2.459837572
0.308	-0.1331035795	0.1323047174	76.97853929	1.464289717
0.309	-0.1336208317	0.132860634	77.22869797	1.057266365
0.31	-0.1341376906	0.1334155782	77.47886187	1.034003695
0.311	-0.1346541829	0.1339695667	77.72903083	0.8867116443
0.312	-0.1351703337	0.1345226149	77.97920467	1.179772212
0.313	-0.1356861661	0.1350747376	78.22938323	0.7243982297
0.314	-0.1362017017	0.1356259486	78.47956633	1.219587495
0.315	-0.13671696	0.1361762608	78.72975376	0.7202825369
0.316	-0.1372319589	0.1367256861	78.97994534	0.4768409605
0.317	-0.1377467143	0.1372742356	79.23014086	0.4148644722
0.318	-0.1382612406	0.1378219196	79.48034012	0.4980982284
0.319	-0.13877555	0.1383687473	79.7305429	0.9352825095
0.32	-0.139289653	0.1389147271	79.98074898	2.100292121
0.321	-0.1398035584	0.1394598665	80.23095815	0.7494222099
0.322	-0.140317273	0.1400041721	80.48117018	1.405908102
0.323	-0.1408308019	0.1405476498	80.73138483	0.8950609303
0.324	-0.1413441484	0.1410903045	80.98160189	0.5216530978
0.325	-0.1418573141	0.1416321403	81.23182112	0.5218157268
0.326	-0.1423702987	0.1421731606	81.48204228	0.5499570862
0.327	-0.1428831002	0.142713368	81.73226515	0.6408536882
0.328	-0.1433957151	0.1432527643	81.9824895	1.756443003
0.329	-0.143908138	0.1437913507	82.23271508	2.367119024
0.33	-0.1444203622	0.1443291274	82.48294168	1.098297387
0.331	-0.1449323792	0.1448660941	82.73316907	2.578076623
0.332	-0.1454441789	0.1454022497	82.98339702	5.19729861
0.333	-0.1459557498	0.1459375926	83.23362531	1.592436562
0.334	-0.146467079	0.1464721206	83.48385372	3.0411493
0.335	-0.1469781518	0.1470058306	83.73408205	3.477143397
0.336	-0.1474889525	0.1475387192	83.98431009	1.049615178
0.337	-0.1479994639	0.1480707823	84.23453763	30.06701582
0.338	-0.1485096676	0.1486020153	84.48476449	0.9689763898
0.339	-0.1490195437	0.149132413	84.73499046	0.4870096478
0.34	-0.1495290717	0.1496619697	84.98521537	0.3220879937
0.341	-0.1500382294	0.1501906792	85.23543905	0.3544362589
0.342	-0.1505469941	0.1507185348	85.48566132	0.517855512
0.343	-0.1510553417	0.1512455295	85.73588203	0.8124703441
0.344	-0.1515632475	0.1517716556	85.98610101	2.394647737
0.345	-0.1520706858	0.1522969053	86.23631814	1.009161963
0.346	-0.1525776304	0.15282127	86.48653326	0.5318521943
0.347	-0.153084054	0.1533447411	86.73674626	0.4405930525
0.348	-0.1535899291	0.1538673095	86.98695701	0.3537267373
0.349	-0.1540952274	0.1543889656	87.23716541	0.253453212
0.35	-0.1545999202	0.1549096996	87.48737134	0.2957232118
0.351	-0.1551039785	0.1554295015	87.73757473	0.281675032
0.352	-0.1556073729	0.1559483609	87.98777549	0.3419594134
0.353	-0.1561100738	0.1564662671	88.23797353	0.4882940353
0.354	-0.1566120514	0.1569832092	88.4881688	0.7286398774
0.355	-0.1571132758	0.1574991761	88.73836123	2.297838198
0.356	-0.1576137173	0.1580141565	88.98855078	5.573962112
0.357	-0.1581133461	0.1585281389	89.2387374	1.005121917
0.358	-0.1586121325	0.1590411116	89.48892107	8.216539453
0.359	-0.1591100472	0.1595530629	89.73910175	0.8914356539
0.36	-0.1596070611	0.1600639809	89.98927944	1.270536344
0.361	-0.1601031454	0.1605738536	90.23945411	1.755053409
0.362	-0.1605982719	0.161082669	90.48962578	1.115408059
0.363	-0.1610924128	0.161590415	90.73979443	4.261975534
0.364	-0.161585541	0.1620970797	90.98996008	0.8517449146
0.365	-0.1620776298	0.1626026509	91.24012276	0.634412185
0.366	-0.1625686536	0.1631071167	91.49028248	1.31176535
0.367	-0.1630585872	0.1636104653	91.74043927	2.073521874
0.368	-0.1635474065	0.1641126847	91.99059316	0.9621631854
0.369	-0.1640350881	0.1646137633	92.2407442	0.5468203005
0.37	-0.1645216096	0.1651136896	92.49089242	0.4524651392
0.371	-0.1650069498	0.1656124523	92.74103787	0.3278784729
0.372	-0.1654910882	0.1661100403	92.9911806	0.3194818352
0.373	-0.1659740056	0.1666064427	93.24132067	0.4486828481
0.374	-0.1664556839	0.1671016489	93.49145812	0.764862501
0.375	-0.1669361063	0.1675956487	93.74159303	2.68527411
0.376	-0.1674152569	0.1680884319	93.99172544	0.4431886943
0.377	-0.1678931214	0.1685799892	94.24185542	0.6887279423
0.378	-0.1683696865	0.1690703112	94.49198304	0.6020599812
0.379	-0.1688449404	0.1695593891	94.74210835	1.24149999
0.38	-0.1693188723	0.1700472146	94.99223141	0.6374971286
