Time	U_x	U_y	P	Max.Res.	Omega_1(Wall)
0.028	-5.932575593e-05	6.091079942e-05	-0.1243248768	0.5061446438	1
0.0281	-5.987049861e-05	6.152372027e-05	-0.1251402267	1.048738357	1
0.0282	-6.041883776e-05	6.21402175e-05	-0.125960953	4.504475126	1
0.0283	-6.097193107e-05	6.276224746e-05	-0.1267984999	0.8465747022	1
0.0284	-6.152874766e-05	6.338806983e-05	-0.1276383433	0.4814848211	1
0.0285	-6.208899636e-05	6.401778407e-05	-0.128478613	0.3289734841	1
0.0286	-6.265285327e-05	6.465172133e-05	-0.1293178438	0.2504526489	1
0.0287	-6.322214705e-05	6.529222584e-05	-0.1301680361	0.2147369561	1
0.0288	-6.379463029e-05	6.593580347e-05	-0.1310020145	0.1924327909	1
0.0289	-6.437273135e-05	6.658657378e-05	-0.1318446572	0.1997982799	1
0.029	-6.495605195e-05	6.724306512e-05	-0.1326826543	0.2420034513	1
0.0291	-6.554442963e-05	6.790540499e-05	-0.1335152428	0.2914149574	1
0.0292	-6.613796425e-05	6.857380291e-05	-0.1343420252	0.3120475697	1
0.0293	-6.673683583e-05	6.924847942e-05	-0.1351629058	0.1893080214	1
0.0294	-6.734121899e-05	6.99296344e-05	-0.1359780358	0.1882809541	1
0.0295	-6.795285163e-05	7.061951213e-05	-0.1368003554	0.2425929131	1
0.0296	-6.856895522e-05	7.131387086e-05	-0.1376052804	0.3123664831	1
0.0297	-6.919181041e-05	7.201684655e-05	-0.1384177626	0.4560311093	1
0.0298	-6.981896944e-05	7.27242091e-05	-0.1392140148	0.7945457668	1
0.0299	-7.04528497e-05	7.34402027e-05	-0.1400191104	1.084129301	1
0.03	-7.109097942e-05	7.416050796e-05	-0.140809748	0.5142609998	1
0.0301	-7.173577116e-05	7.488940602e-05	-0.1416110263	0.4564343218	1
0.0302	-7.238635589e-05	7.562466903e-05	-0.1424121772	0.4765888826	1
0.0303	-7.304044853e-05	7.636376622e-05	-0.1432014569	0.9274760769	1
0.0304	-7.370076069e-05	7.711110995e-05	-0.1440041317	4.788362541	1
0.0305	-7.43665022e-05	7.786444742e-05	-0.1448095248	0.8158705281	1
0.0306	-7.503703714e-05	7.862344697e-05	-0.1456181544	0.507445029	1
0.0307	-7.571203878e-05	7.938786078e-05	-0.1464306031	0.3409045444	1
0.0308	-7.63913028e-05	8.015750158e-05	-0.1472474534	0.257055451	1
0.0309	-7.707466654e-05	8.093221829e-05	-0.1480692412	0.2067546029	1
0.031	-7.776364959e-05	8.171412978e-05	-0.1489091687	0.2214473799	1
0.0311	-7.84567657e-05	8.250062016e-05	-0.149755039	0.27902714	1
0.0312	-7.915478361e-05	8.329348366e-05	-0.1506192178	0.3601541521	1
0.0313	-7.98559961e-05	8.408997993e-05	-0.1514885656	0.4278404523	1
0.0314	-8.055953022e-05	8.488971574e-05	-0.152361972	0.5200924482	1
0.0315	-8.126673825e-05	8.569476308e-05	-0.1532517654	1.110256505	1
0.0316	-8.197631018e-05	8.650271574e-05	-0.1541443285	4.788122226	1
0.0317	-8.268763985e-05	8.731344612e-05	-0.1550383348	0.8652747792	1
0.0318	-8.340226789e-05	8.81292167e-05	-0.1559460333	0.4741395404	1
0.0319	-8.411913369e-05	8.894786129e-05	-0.1568535601	0.3247397178	1
0.032	-8.48378146e-05	8.97694372e-05	-0.1577595263	0.2475770665	1
0.0321	-8.555846982e-05	9.059423133e-05	-0.1586630156	0.2004960072	1
0.0322	-8.628297321e-05	9.142475858e-05	-0.1595765284	0.1695758783	1
0.0323	-8.700897415e-05	9.225691316e-05	-0.1604734895	0.1569315688	1
0.0324	-8.773891402e-05	9.309539525e-05	-0.1613789494	0.1426045556	1
0.0325	-8.847249416e-05	9.393836923e-05	-0.1622801912	0.1292757634	1
0.0326	-8.92095124e-05	9.478600885e-05	-0.1631766561	0.1175930982	1
0.0327	-8.995015598e-05	9.563858982e-05	-0.1640681991	0.1222807226	1
0.0328	-9.069472313e-05	9.649641373e-05	-0.1649549599	0.1401579605	1
0.0329	-9.144351885e-05	9.735977645e-05	-0.1658372883	0.1631604869	1
0.033	-9.219841192e-05	9.823116674e-05	-0.1667283788	0.193273135	1
