time = 28	Re = 1	rotation = 4.45618
0.628625	-0.394440	594	
0.303399	-0.940779	5947	
-0.159450	0.876278	9629	
0.614898	-0.751501	10006	
-0.301562	-0.676545	7472	
-0.550866	0.426640	1342	
-0.372406	0.132030	1232	
0.030297	-0.853583	5630	
-0.279095	-0.950330	9019	
-0.399193	0.505270	341	
0.403043	0.259206	7112	
0.550461	0.072732	3609	
-0.611966	0.684472	5642	
0.646802	0.446921	9416	
0.444264	0.490712	9079	
0.523217	0.313532	2540	
0.858649	0.243873	1400	
-0.173648	-0.617695	6992	
0.707096	0.517900	9515	
0.253740	-0.125672	8337	
0.592135	-0.632562	6117	
-0.646570	-0.464702	2394	
0.268226	-0.092939	3386	
-0.681157	0.243106	5009	
-0.287454	0.655283	8051	
-0.777839	0.526949	3295	
0.183044	0.129708	6980	
0.434423	0.294927	3377	
0.269744	0.027644	11044	
0.596878	-0.165302	8776	
0.964049	0.039305	1666	
-0.099470	0.449509	1702	
0.488452	0.187795	1832	
0.784982	0.070522	1731	
-0.131434	0.725743	8566	
0.186744	0.025875	10376	
0.660318	-0.010016	4159	
-0.290413	0.418709	4941	
0.021471	0.797716	3731	
0.073161	-0.617891	2621	
0.705058	0.115896	7062	
-0.265694	-0.793902	6183	
-0.543321	0.358353	3951	
0.138434	0.691274	780	
-0.447109	-0.664290	10124	
-0.575217	0.682537	10886	
0.583000	-0.754199	957	
0.284952	-0.485505	2828	
0.120343	-0.936130	2665	
0.850445	0.243840	1400	
0.556467	0.084635	3609	
-0.635084	0.236880	8643	
0.720613	-0.188624	3996	
0.623165	-0.095656	2326	
-0.150707	-0.504825	2002	
0.735118	0.652638	4359	
0.546371	-0.808010	9097	
0.288671	0.733514	6648	
0.130077	-0.018669	9281	
0.614649	-0.410889	594	
-0.033759	0.435579	7734	
-0.673779	0.464499	2793	
-0.072442	0.872441	7605	
0.144391	0.645835	519	
-0.089826	-0.229317	7100	
0.001500	0.330565	8074	
0.234157	0.249390	3407	
-0.563230	-0.370734	1042	
-0.877719	0.321028	9392	
0.551058	0.303160	1826	
0.264630	-0.483796	5438	
-0.625304	0.684386	5642	
-0.449522	-0.559533	4131	
-0.129766	0.264209	2114	
-0.196350	0.076592	3464	
-0.298296	0.406335	6982	
0.352673	-0.660875	1391	
-0.703188	0.028348	7749	
0.146221	-0.959910	6432	
-0.195233	0.655142	5389	
0.097329	-0.633006	3738	
-0.470410	0.224711	1029	
-0.013586	0.392239	2176	
0.515672	-0.809415	10610	
-0.767053	-0.518741	8097	
-0.861534	-0.387805	10281	
-0.952141	-0.083700	10527	
0.859641	0.278835	8408	
0.750772	0.048420	2207	
-0.343418	-0.469037	6599	
0.510186	-0.056820	7249	
-0.356875	0.152080	527	
0.272754	-0.453975	1456	
-0.289748	-0.351087	416	
-0.355681	0.641348	961	
0.769796	0.096837	9248	
0.702241	0.122573	2321	
-0.100872	0.350153	9507	
-0.115805	-0.802646	2359	
0.775237	0.258918	1902	
-0.638078	0.360135	3720	
-0.079873	-0.735956	9709	
-0.270888	0.218742	6470	
-0.926282	-0.061711	8857	
-0.468044	0.752541	7559	
0.445511	0.250753	1545	
-0.062432	-0.107850	4314	
0.170781	0.688291	840	
-0.711242	0.315829	6271	
-0.094820	-0.614999	1837	
0.638982	0.395671	2021	
0.558091	0.657565	5615	
-0.653073	-0.658605	10503	
0.674527	-0.154512	7594	
0.702582	0.520962	9515	
0.547925	-0.796833	9097	
-0.112502	-0.125629	10564	
0.294503	0.853318	1065	
-0.820156	0.436707	9800	
0.627804	-0.606470	5573	
0.586846	-0.312366	5800	
0.243022	-0.906600	9196	
-0.220539	-0.900478	870	
-0.327398	0.397957	5250	
-0.387656	0.167624	5597	
-0.329277	0.036957	5386	
-0.659706	-0.224725	1739	
-0.397028	0.825502	5963	
0.136645	0.202966	5214	
-0.068479	0.407120	4766	
0.471932	0.613503	8968	
0.050936	-0.257915	2093	
-0.396285	0.693984	3745	
0.335035	0.627657	1368	
0.663316	0.007221	4159	
-0.776485	0.101999	8127	
0.723122	-0.416247	3283	
-0.469373	0.786387	9329	
0.322292	-0.773106	5168	
0.378119	0.056270	2860	
0.023889	-0.568969	6426	
0.113013	0.095975	5461	
-0.347464	0.532116	831	
-0.577405	0.554772	7996	
-0.179610	0.342248	5987	
-0.472097	-0.805156	10675	
-0.321874	-0.522374	10806	
-0.651872	0.329657	10239	
0.439951	0.404257	1854	
0.689443	-0.239434	5010	
0.051060	0.671703	4102	
-0.039054	-0.819718	4318	
0.687889	-0.245961	5010	
-0.068970	-0.698473	5083	
-0.758795	0.280803	8388	
0.398145	0.205280	3321	
-0.374529	0.529140	831	
-0.692329	-0.604265	7706	
0.894901	0.412234	6636	
0.496290	-0.065597	5910	
-0.184091	-0.581534	5823	
0.446176	0.422978	2836	
-0.143671	0.263526	2114	
0.014358	-0.196605	4848	
-0.447074	0.422429	3993	
-0.046079	-0.489250	755	
0.143797	0.715483	5951	
-0.079061	0.430577	8160	
-0.065190	0.732071	598	
-0.918153	-0.142761	9753	
-0.712161	0.393128	10732	
0.246769	0.672557	10862	
-0.582495	-0.695678	8370	
0.776907	0.241225	1474	
-0.623240	0.242699	4576	
-0.189491	-0.295653	8429	
0.785123	0.213802	11025	
-0.254793	0.175494	6723	
0.180985	0.651935	9582	
0.843971	0.066612	8826	
0.161773	-0.144940	3701	
0.415825	0.242642	2980	
-0.453083	-0.674557	933	
-0.694131	-0.663782	9453	
-0.840731	-0.368609	7695	
0.486443	-0.525682	6828	
-0.711758	-0.287679	693	
0.285876	-0.811579	7534	
0.179800	-0.593619	3238	
0.362932	-0.743267	4613	
-0.535049	0.176489	5468	
0.453268	0.178426	3017	
0.271955	-0.912807	7248	
