time = 0.001	Re = 1	rotation = 0
0.178170	0.239929	2003	
0.154271	-0.118459	2308	
0.551896	-0.544811	5460	
0.226690	-0.466335	1125	
0.897186	0.128357	11028	
0.125221	-0.590103	1908	
0.936590	-0.254725	1302	
0.350327	-0.060363	1034	
0.393837	-0.323831	529	
0.367213	0.732550	4388	
0.127580	0.493249	3192	
0.242551	0.019798	10851	
0.252771	0.297811	7255	
0.549523	0.285848	2835	
0.569970	-0.453215	3327	
0.220131	-0.693055	3570	
0.760458	0.584677	10653	
0.550402	0.064101	4550	
0.360258	-0.848660	987	
0.205349	-0.150500	6453	
0.652619	0.104639	5684	
0.250848	-0.352146	8326	
0.220794	-0.535588	6962	
0.927965	0.005971	2231	
0.195428	-0.946039	7634	
0.084018	-0.160369	5666	
0.517414	0.292464	2507	
0.471523	0.315927	2831	
-0.000253	-0.970438	5974	
0.802961	0.226601	10835	
0.755494	-0.243949	2587	
0.600872	-0.062261	3612	
0.118118	0.626329	3797	
0.106301	0.928916	9190	
0.712687	0.047276	9471	
0.776021	0.593810	5421	
0.781630	0.138631	1135	
0.726765	-0.086428	6771	
0.802702	0.486260	8923	
0.039083	-0.139748	3678	
0.431315	0.061959	1229	
0.471043	0.395517	7323	
0.541907	0.084139	9438	
0.667258	0.044113	11052	
0.062753	0.622455	3700	
0.287257	0.803014	10706	
0.642761	0.527095	1602	
0.311823	-0.688116	4364	
0.651141	-0.326489	2791	
0.430934	0.698242	6759	
0.022920	0.588589	1322	
0.924304	0.011576	6237	
0.143971	-0.207675	2664	
0.148220	-0.754659	1675	
0.267222	0.541917	5845	
0.529066	0.745452	1066	
0.143965	0.886063	6320	
0.210391	-0.910351	7479	
0.403552	-0.870167	1863	
0.711754	0.138957	8653	
0.151640	0.254531	4138	
0.457860	0.024519	1694	
0.264207	0.859958	6346	
0.373992	0.542891	1510	
0.339279	-0.564084	6908	
0.222241	0.459783	877	
0.075028	0.106556	406	
0.576288	-0.369235	4934	
0.064521	0.696062	7466	
0.100947	-0.426649	4500	
0.303168	0.289351	10197	
0.749188	0.214499	8433	
0.370110	0.168910	7117	
0.156357	-0.924629	761	
0.392061	-0.692133	7996	
0.152702	-0.040492	4992	
0.176335	-0.600418	6113	
0.575053	-0.086449	7123	
0.718045	-0.074618	363	
0.307578	0.271428	7032	
0.248117	0.349868	9788	
0.253006	0.438685	8450	
0.387057	0.518593	2192	
0.126653	0.946065	9510	
0.149898	0.398922	3512	
0.344888	-0.626471	7581	
0.113833	-0.933927	675	
0.627899	0.181368	6171	
0.196274	-0.425913	4638	
0.445984	-0.752855	5574	
0.860155	0.430384	10327	
0.500701	-0.761050	7954	
0.274882	0.840821	6346	
0.773171	0.543341	10577	
0.752895	-0.191466	2487	
0.087817	0.861667	7715	
0.694950	0.555789	6136	
0.383211	0.869180	10120	
0.469020	-0.568550	3880	
0.514913	0.287479	1827	
0.318633	-0.786706	6521	
0.456840	-0.024858	8606	
0.669726	-0.704691	5565	
0.680798	-0.316715	10261	
0.844998	-0.088103	6036	
0.234233	0.524815	4401	
0.133837	-0.591387	1908	
0.474756	-0.128709	1962	
0.309572	0.913574	4916	
0.666580	0.574591	5288	
0.515327	-0.268222	2842	
0.370760	-0.453604	9889	
0.547671	0.707727	8029	
0.039705	0.502557	3501	
0.783553	-0.211336	7718	
0.743572	-0.222170	7753	
0.314858	-0.529350	3993	
0.238700	-0.397518	717	
0.607482	-0.148972	10766	
0.662347	-0.714540	5565	
0.343512	0.058277	4127	
0.622104	-0.461421	9920	
0.260263	-0.907493	10609	
0.359994	-0.640548	6890	
0.421156	0.170835	5855	
0.721690	0.552121	8411	
0.453674	-0.206134	7400	
0.384896	-0.863800	10780	
0.163657	0.393491	3512	
0.228125	0.693807	977	
0.602132	0.505919	10124	
0.226311	0.502536	4198	
0.836137	0.083199	2453	
0.027061	-0.340081	9562	
0.216591	-0.912786	7479	
0.596067	0.081422	3002	
0.085190	0.902120	4970	
0.945559	-0.077438	1554	
0.111185	0.937265	9190	
0.452220	0.630770	7547	
0.681389	-0.189104	8509	
0.241514	-0.499646	2947	
0.371646	0.351139	4064	
0.485503	0.561092	7116	
0.647750	-0.747624	5636	
0.860262	0.235286	1898	
0.950863	0.202654	3871	
0.787434	-0.018027	9977	
0.588619	0.145905	4099	
0.049227	-0.229466	5466	
0.421535	-0.741159	7600	
0.040316	-0.990546	5948	
0.356290	-0.515293	426	
0.038918	-0.129507	1910	
0.611708	-0.262414	3005	
0.764765	-0.505535	8910	
0.122709	-0.786038	881	
0.494889	0.123636	1546	
0.218885	0.101380	923	
0.717352	-0.501112	5967	
0.010827	0.662123	4705	
0.843433	-0.245482	1416	
0.317570	0.196068	4494	
0.403355	-0.766669	6118	
0.413169	0.686904	6629	
0.523325	0.216280	10741	
0.359225	-0.648754	6890	
0.570142	0.102985	3148	
0.239715	-0.908886	10101	
0.396790	-0.094000	4229	
0.324852	-0.147270	8368	
0.311297	0.050135	7630	
0.040199	0.181898	5970	
0.153840	0.952652	9458	
0.038609	-0.460576	824	
0.662170	0.102489	4632	
0.435887	-0.645762	5549	
0.642298	-0.277900	8484	
0.481225	-0.082308	5709	
0.369445	-0.607376	7488	
0.029333	-0.547668	7460	
0.621326	-0.484340	9920	
0.257115	0.547409	10573	
0.655957	-0.201485	3026	
0.705887	-0.441359	6096	
0.299180	-0.199315	7307	
0.423806	0.104151	2685	
0.384092	0.710584	6825	
0.711846	0.535775	8249	
0.578839	0.757807	1764	
0.098482	0.559547	8903	
0.652773	0.681331	1887	
0.879137	-0.071122	8918	
0.630150	-0.087432	2244	
0.611953	0.161425	4269	
0.771392	0.102326	989	
0.560121	0.182988	7075	
0.218780	0.366760	1868	
0.235919	0.955046	8810	
0.974634	-0.069512	2314	
0.626208	-0.468047	9326	
0.208536	-0.103395	2818	
0.251327	0.704968	2941	
0.058042	-0.421752	5326	
0.176849	-0.803021	5031	
0.510508	0.709088	9153	
0.435243	-0.469830	3429	
0.506115	0.315744	5857	
0.061181	-0.317251	5411	
0.009088	-0.689267	6086	
0.377185	0.023658	7921	
0.606278	-0.711811	3295	
0.223797	0.079547	8137	
0.093801	0.546617	8130	
0.507097	-0.776478	8780	
0.515663	0.509964	4287	
0.116854	-0.287605	5536	
0.081699	-0.697088	8440	
0.051949	-0.547766	6634	
0.454815	0.582387	6094	
0.686476	0.174391	3507	
0.914818	-0.327635	8358	
0.426276	-0.205890	7055	
0.114841	0.628680	3797	
0.398484	-0.363498	2557	
0.102813	-0.380398	8417	
0.812415	0.511335	9789	
0.820186	0.428850	10923	
0.849999	-0.406200	764	
0.271720	-0.915970	10609	
0.226560	-0.863721	7975	
0.430440	0.616786	9983	
0.320153	0.560420	5803	
0.256983	0.169835	5527	
0.134593	-0.239235	4850	
0.038024	0.546486	6542	
0.452164	0.332189	2952	
0.710589	0.105258	2770	
0.696949	0.269931	468	
0.757419	-0.018845	5660	
0.188405	-0.377092	6350	
0.188872	0.790396	2012	
0.369503	-0.692484	7896	
0.119908	-0.738251	5045	
0.228838	0.705039	977	
0.244829	-0.287275	7825	
0.931913	-0.040341	1582	
0.592745	0.656876	4177	
0.142923	0.067303	6344	
0.098891	0.085466	4147	
0.594471	0.091584	3624	
0.364981	0.696512	7278	
0.310162	0.527545	7280	
0.449093	0.610394	10382	
0.691386	0.515232	5387	
0.780250	0.501913	1475	
0.391475	-0.605509	5533	
0.866539	-0.164140	8881	
0.925109	0.283634	1197	
0.516497	0.133965	1297	
0.535729	-0.726996	7902	
0.670925	-0.643237	9800	
0.154613	-0.859978	6820	
0.149963	0.147838	5397	
0.357771	0.867323	5194	
0.367179	0.851916	2210	
0.058007	-0.560178	6634	
0.259995	-0.257825	4525	
0.583983	-0.215962	3004	
0.268147	-0.026380	1537	
0.675339	-0.616329	8815	
0.150040	-0.675647	6573	
0.114262	-0.418592	5312	
0.695639	-0.335142	1895	
0.095716	0.259708	9086	
0.774948	-0.190692	2659	
0.666995	0.177395	2225	
0.643487	-0.156879	3324	
0.477729	0.629422	6647	
0.545292	0.631791	10413	
0.729887	-0.549964	8136	
0.793855	0.257438	6805	
0.233303	0.031514	7380	
0.240471	0.443205	8499	
0.136139	-0.064242	4166	
0.158879	-0.617534	6153	
0.770046	-0.215632	7224	
0.222941	-0.417030	703	
0.771845	0.523822	9216	
0.082203	0.661991	4867	
0.171315	-0.727307	1788	
0.533194	-0.262582	1884	
0.143991	0.737314	597	
0.505899	-0.303090	6537	
0.533339	0.617891	7495	
0.171666	0.731182	1124	
0.585676	0.230478	3763	
0.587985	-0.557950	9520	
0.184693	-0.045480	2469	
0.355824	-0.518683	426	
0.581981	0.711788	10184	
0.557711	0.812489	8765	
0.201885	0.174471	6870	
0.355165	0.487055	5872	
0.449704	-0.176087	3267	
0.142688	-0.291034	7900	
0.519428	0.295812	5015	
0.275279	-0.558783	6974	
0.081405	0.407219	4816	
0.646867	-0.258700	8203	
0.076345	-0.441017	9054	
0.695271	-0.136909	7570	
0.919860	0.129972	8814	
0.411422	-0.705817	8920	
0.402440	0.595022	10943	
0.001096	0.909189	4874	
0.662135	-0.379367	5737	
0.489349	-0.472344	10529	
0.436208	0.276002	1383	
0.673723	-0.355127	4937	
0.022721	-0.245634	8742	
0.375202	-0.176326	1985	
0.149541	0.826716	5559	
0.472180	0.213937	5496	
0.179683	0.094189	9660	
0.739166	0.334097	4231	
0.611497	-0.741549	2200	
0.540438	0.734327	1158	
0.658455	-0.089859	2632	
0.466285	-0.577192	3880	
0.387239	-0.766976	6118	
0.192005	0.578885	2031	
0.472865	0.675006	5346	
0.322615	-0.233931	9096	
0.654996	0.065084	5164	
0.789818	0.532206	10577	
0.575565	0.160803	1037	
0.734582	0.220392	7775	
0.436932	-0.162862	3145	
0.586924	0.366979	7143	
0.222895	0.123492	4479	
0.110362	-0.441646	9910	
0.552645	-0.095590	7003	
0.440694	0.307957	1594	
0.348344	-0.230018	686	
0.154151	0.780856	2150	
0.236351	-0.856733	7559	
0.149015	0.641583	3768	
0.929390	-0.289133	7348	
0.354194	0.701552	5338	
0.640898	-0.107674	2744	
0.293362	0.339096	9354	
0.803981	-0.230037	8621	
0.464574	0.284078	2796	
0.588247	0.465864	5822	
0.855730	0.082631	631	
0.066525	-0.231359	4585	
0.197851	0.959214	9342	
0.703015	0.597769	8921	
0.054314	0.445261	8199	
0.484216	0.589369	10543	
0.715410	-0.647878	2533	
0.918875	0.154494	10449	
0.385181	-0.544973	1257	
0.735740	0.218992	7775	
0.456116	-0.357149	7155	
0.189453	0.747172	1379	
0.074833	-0.370627	5987	
0.591146	0.359577	5950	
0.270377	-0.485294	2408	
0.341940	-0.832348	973	
0.939325	-0.190617	10039	
0.200189	-0.312572	1552	
0.195301	-0.488517	6975	
0.757072	-0.524713	9254	
0.699030	0.186032	3345	
0.145610	0.527272	4303	
0.290420	-0.924468	9170	
0.390696	0.465863	9210	
0.542191	-0.050995	9179	
0.046030	0.301309	7044	
0.872503	-0.077167	8918	
0.522621	-0.644943	4202	
0.121346	0.227574	6259	
0.715985	-0.425709	5184	
0.032795	-0.528406	5439	
0.103697	0.643881	2871	
0.751475	-0.425994	7673	
0.329604	0.859367	4389	
0.713147	0.623436	809	
0.454416	-0.345929	5627	
0.138557	0.250618	1850	
0.125628	0.473995	1574	
0.546454	-0.085886	2990	
0.753133	0.213798	9480	
0.102593	-0.161790	2735	
0.400884	-0.200112	5711	
0.471294	-0.021278	9375	
0.016050	-0.540549	5357	
0.470890	-0.412874	5646	
0.271967	-0.551411	6123	
0.566731	0.287639	3164	
0.279541	-0.382547	1656	
0.499142	0.136620	1295	
0.545849	-0.480453	10143	
0.145710	-0.263401	7792	
0.784311	0.191482	9493	
0.181339	-0.533746	7416	
0.903984	-0.208528	7964	
0.727759	-0.029851	10265	
0.243191	-0.056960	7363	
0.135496	-0.279468	4931	
0.016167	0.603545	2648	
0.100896	0.191615	7322	
0.261291	-0.940232	10534	
0.110094	0.398320	3465	
0.281233	-0.203418	4777	
0.824423	-0.438585	6670	
0.468821	0.651255	3747	
0.768169	-0.523636	9254	
0.252814	0.096693	7536	
0.772537	0.474429	1578	
0.648511	0.328533	6360	
0.359049	0.490249	5872	
0.603133	0.572035	4078	
0.154143	0.629031	3862	
0.723473	0.091167	2009	
0.258912	-0.804911	5828	
0.484122	-0.711241	7833	
0.819982	-0.339902	8022	
0.663033	-0.625439	9800	
0.716705	0.150149	894	
0.470552	0.534608	4016	
0.550145	-0.374105	10589	
0.027014	-0.941335	7247	
0.043274	-0.654287	3653	
0.915105	-0.161577	10270	
0.107241	-0.538276	8495	
0.945599	0.189359	8829	
0.356128	0.785067	5759	
0.301336	0.761888	1934	
0.122010	0.876337	9751	
0.017255	-0.293935	2468	
0.180343	-0.468046	6982	
0.625569	-0.114429	8082	
0.736586	0.273338	4739	
0.300205	-0.352547	4512	
0.798210	0.063528	2406	
0.127554	0.173319	4104	
0.138716	0.737278	597	
0.129609	0.338687	10178	
0.277505	-0.438142	4838	
0.800556	-0.458430	7499	
0.230982	-0.602998	353	
0.430341	0.615381	9983	
0.152536	0.233967	7503	
0.472583	0.292169	3019	
0.404005	0.519241	9668	
0.321452	0.444014	6182	
0.959816	0.157524	1048	
0.634610	0.048968	10332	
0.485287	-0.663392	5531	
0.687761	0.211656	2763	
0.552498	-0.387699	10589	
0.394358	-0.134007	6003	
0.657937	0.451130	8728	
0.313183	0.229160	7211	
0.370345	-0.029947	900	
0.082075	0.157273	6780	
0.333975	-0.660082	6827	
0.265114	0.909626	512	
0.473855	-0.411846	1524	
0.341851	-0.541948	6501	
0.564738	-0.566231	10408	
0.695837	-0.055170	4698	
0.159987	0.976653	6388	
0.397508	-0.221518	8885	
0.442288	-0.565300	671	
0.585842	-0.322144	7721	
0.481366	0.807700	1014	
0.168200	0.586635	1905	
0.461650	-0.486580	7185	
0.685958	-0.512021	3261	
