time = 10.8	Re = 90
-0.695788	0.485505	572
-0.708778	0.468394	573
-0.720315	0.451985	574
-0.731943	0.434689	575
-0.740381	0.421093	576
-0.748747	0.407271	577
-0.756914	0.393009	578
-0.765374	0.378191	579
-0.772220	0.365218	580
-0.779174	0.352096	581
-0.786222	0.337941	582
-0.793303	0.323551	583
-0.800019	0.308859	584
-0.806878	0.293609	585
-0.813391	0.277813	586
-0.819960	0.261481	587
-0.826279	0.244401	588
-0.832746	0.226683	589
-0.838821	0.208266	590
-0.844884	0.188787	591
-0.850411	0.168883	592
-0.855907	0.148010	593
-0.861617	0.124038	594
-0.866821	0.099638	595
-0.870301	0.079277	596
-0.873501	0.058228	597
-0.875843	0.038527	598
-0.878046	0.017686	599
-0.879525	-0.002452	600
-0.880694	-0.023246	601
-0.881123	-0.042985	602
-0.881372	-0.063841	603
-0.881198	-0.083455	604
-0.880719	-0.104360	605
-0.879375	-0.126434	606
-0.877231	-0.151345	607
-0.874213	-0.178976	608
-0.872215	-0.194381	609
-0.870239	-0.209542	610
-0.865237	-0.238851	611
-0.862143	-0.254331	612
-0.859037	-0.269775	613
-0.852908	-0.294261	614
-0.846245	-0.318897	615
-0.839684	-0.340360	616
-0.832603	-0.362701	617
-0.826029	-0.381696	618
-0.818964	-0.400826	619
-0.811172	-0.419942	620
-0.802746	-0.439273	621
-0.796191	-0.452913	622
-0.789605	-0.466672	623
-0.782294	-0.480698	624
-0.774883	-0.494801	625
-0.767307	-0.507841	626
-0.759758	-0.520832	627
-0.751594	-0.534009	628
-0.743320	-0.547467	629
-0.727204	-0.571558	630
-0.718423	-0.583945	631
-0.709577	-0.596241	632
-0.691972	-0.619017	633
-0.682337	-0.631099	634
-0.672631	-0.643224	635
-0.655247	-0.663396	636
-0.636601	-0.683969	637
-0.617153	-0.703878	638
-0.595707	-0.724542	639
-0.584502	-0.734544	640
-0.573191	-0.744618	641
-0.560232	-0.755417	642
-0.546853	-0.766470	643
-0.532296	-0.777705	644
-0.516409	-0.789452	645
-0.498752	-0.801701	646
-0.478925	-0.814753	647
-0.455987	-0.828054	648
-0.442444	-0.835589	649
-0.428490	-0.843724	650
-0.411461	-0.852854	651
-0.392199	-0.862735	652
-0.375040	-0.871034	653
-0.357707	-0.879116	654
-0.333438	-0.889685	655
-0.306147	-0.900657	656
-0.279313	-0.910461	657
-0.264272	-0.915612	658
-0.249430	-0.920766	659
-0.225491	-0.928140	660
-0.203658	-0.934331	661
-0.184403	-0.939475	662
-0.163886	-0.944709	663
-0.143906	-0.949133	664
-0.123117	-0.953410	665
-0.103651	-0.956921	666
-0.083913	-0.960317	667
-0.056616	-0.964859	668
-0.031075	-0.968767	669
-0.010783	-0.971813	670
0.008343	-0.974659	671
0.032421	-0.985057	672
