time = 0.003	Re = 10	rotation = 9.86959e-11
0.639514	0.714835	728	
0.700810	0.297325	4776	
-0.454729	0.042151	8466	
-0.545152	0.068253	2956	
-0.140353	0.808608	1211	
-0.360815	0.780370	1555	
-0.486374	0.585046	2272	
0.858885	0.234846	1898	
-0.730336	0.380450	6197	
-0.096337	0.666320	5305	
0.420966	0.552984	4771	
0.393357	0.635314	4051	
0.362671	0.103901	7340	
0.514875	0.490956	4679	
-0.622436	0.311548	5997	
0.293551	0.497480	4184	
-0.259610	0.153943	7561	
-0.758707	0.130935	10875	
-0.509768	0.356485	10117	
0.184176	0.828734	5630	
-0.714288	0.533723	8135	
-0.802388	0.542783	5180	
0.188757	0.546089	10201	
-0.271431	0.848439	6721	
-0.380732	0.763928	8717	
-0.103036	0.805421	544	
0.381742	0.757962	5730	
0.559496	0.751346	1158	
-0.215840	0.197441	10769	
0.940262	0.256310	1058	
0.960750	0.102184	3468	
0.653949	0.211518	2719	
0.661896	0.069185	5164	
0.733406	0.418363	7577	
0.032726	0.567241	7820	
0.072911	0.136770	6157	
0.343137	0.178717	10618	
0.676351	0.062907	10484	
0.908802	0.148959	4700	
-0.689054	0.070089	2315	
-0.700369	0.573994	7098	
-0.286192	0.933840	9169	
-0.267346	0.926141	11013	
-0.882865	0.219940	4302	
0.685356	0.163673	3061	
-0.479495	0.371217	1637	
0.168397	0.392311	3449	
-0.463654	0.486944	7186	
0.063718	0.962410	5228	
0.351909	0.192173	5134	
-0.698570	0.162252	9847	
-0.770638	0.290761	10277	
0.391948	0.332777	2278	
0.550276	0.405041	1943	
0.333634	0.589031	6572	
0.287288	0.421882	6984	
-0.045801	0.814950	4592	
0.174244	0.094288	10988	
0.089320	0.816168	4861	
0.460874	0.225383	2922	
0.587194	0.629116	2987	
-0.533458	0.515873	3376	
-0.519945	0.721723	7901	
-0.396269	0.496744	9358	
-0.727593	0.467947	5928	
-0.681007	0.191313	8510	
0.540523	0.392569	2284	
-0.553284	0.291597	7008	
0.606288	0.037181	10750	
0.542642	0.762297	768	
-0.655916	0.136432	5067	
0.066913	0.368976	2810	
0.012403	0.348708	7508	
0.065441	0.809212	4825	
0.170890	0.615532	3351	
0.177084	0.221319	1145	
-0.630523	0.477352	9325	
-0.287315	0.240836	6949	
0.162539	0.856185	7606	
0.113795	0.906523	8255	
-0.596579	0.587337	4211	
-0.290644	0.743705	5850	
-0.100241	0.412181	4499	
-0.714042	0.354554	7369	
0.335607	0.508773	5823	
0.038264	0.648166	2461	
-0.448325	0.220746	7971	
0.935517	0.137831	8402	
0.294251	0.370973	2130	
