time = 5	Re = 1	rotation = 0.795616
0.308130	-0.294354	2672	
-0.864193	-0.359650	2147	
-0.765115	-0.435563	5209	
-0.543094	-0.548864	3364	
-0.716835	-0.505733	5122	
0.117848	-0.658323	6645	
0.172214	0.020878	4691	
-0.750247	-0.227358	5550	
0.072528	0.808437	8689	
0.131198	-0.296034	6257	
0.141040	0.133883	5832	
-0.081182	-0.574814	9994	
-0.675998	0.399794	1379	
0.431196	-0.360704	3413	
-0.583974	-0.765993	9284	
0.479270	-0.009892	9616	
-0.204960	-0.901490	6233	
-0.649110	0.385746	2235	
0.001799	-0.881792	7832	
0.618383	0.258045	5599	
0.490378	0.147374	4838	
0.430803	0.045210	2145	
-0.119215	-0.557665	3341	
0.116185	-0.355157	6270	
0.344349	0.136379	9853	
-0.410202	0.643616	9580	
0.036134	-0.430573	8075	
-0.951466	0.071137	1530	
-0.528391	-0.636794	10941	
-0.758933	-0.196635	7995	
-0.844500	0.099254	5156	
-0.870838	0.070947	6486	
0.318702	-0.002437	3553	
-0.229382	-0.895384	1710	
0.502600	0.201565	7735	
-0.717790	0.284180	3250	
-0.853622	-0.144772	8717	
0.551719	-0.088597	6634	
-0.068275	-0.958528	2154	
0.142541	-0.218034	10323	
0.311257	-0.921499	5220	
0.396812	0.146188	8315	
-0.492397	-0.823584	3343	
0.268206	0.745254	2877	
0.702929	0.017782	4042	
0.165055	-0.481928	592	
0.588582	0.312679	7185	
-0.467631	-0.669723	5867	
0.011173	0.382361	7446	
0.359133	-0.229504	5775	
-0.064254	-0.552605	8005	
0.076846	0.810029	8689	
0.587329	0.425866	3327	
0.192244	-0.592281	9141	
0.233338	0.350064	6003	
0.042278	0.411506	2899	
-0.872777	-0.258390	8779	
0.221586	0.717030	10322	
0.612707	-0.097954	10509	
0.224835	-0.566645	7284	
-0.219199	-0.902659	1710	
-0.376438	-0.741965	8934	
0.861371	-0.478365	10075	
-0.737383	-0.236181	5550	
0.362078	-0.282213	6864	
-0.783503	-0.405520	6261	
-0.722176	0.368661	2150	
0.100501	0.031404	5818	
0.186325	-0.956974	3545	
0.271172	0.181442	8123	
0.049461	-0.919382	10822	
0.479453	-0.195567	2296	
0.282848	0.699768	6151	
-0.465761	-0.733671	10593	
0.297616	-0.877823	9497	
0.455302	-0.761755	4178	
