Coord_center_el.x 	 Coord_center_el.y 	 vectorElement[i].U_eps	Time: 1.1050	Mesh (Number of cells): 5013
0.4972388493 	 -0.3953481503 	 0.2055736217 	 0.1609109710 	 664
-0.0960397217 	 0.5376796324 	 -0.1351996194 	 0.0237727217 	 665
-0.3805246931 	 0.5945533619 	 0.3433578674 	 -0.1850924314 	 666
0.0818287348 	 0.5821451343 	 -0.0884502184 	 -0.0123115350 	 667
-0.5444522198 	 -0.1021689659 	 0.0987213276 	 -0.0970278532 	 668
-0.2420080171 	 0.2018715983 	 -0.0808921388 	 0.0621182153 	 669
-0.0844609860 	 -0.7231083099 	 1.3092758100 	 -0.1518951463 	 670
0.2027150621 	 0.5100674144 	 -0.0183679887 	 -0.0067832184 	 671
-0.1971035841 	 -0.1308617480 	 -0.0437896723 	 0.0364815127 	 672
-0.1084273330 	 0.6648094499 	 0.4700787155 	 -0.0756686442 	 673
0.2304513716 	 0.0586859520 	 -0.0505030865 	 -0.0489414439 	 674
0.8273404690 	 0.0853618305 	 0.6038547400 	 0.6006650107 	 675
0.0641831274 	 0.4264982107 	 -0.0837023304 	 -0.0124559511 	 676
0.3654988442 	 0.4978140499 	 0.1596125724 	 0.0944628405 	 677
0.0998122748 	 0.2067739051 	 -0.0187414237 	 -0.0081472696 	 678
-0.1610007709 	 0.6516132288 	 0.4108346254 	 -0.0985465601 	 679
-0.2110202641 	 -0.6504483743 	 0.4100911656 	 -0.1265507272 	 680
0.1210118396 	 0.1935968074 	 -0.0225484727 	 -0.0119517616 	 681
0.1161900056 	 0.5164376034 	 -0.1320067393 	 -0.0289746630 	 682
-0.1355956851 	 0.9487935779 	 0.9482393707 	 -0.1461630045 	 683
-0.1752595661 	 -0.2605438721 	 -0.0834999443 	 0.0466049654 	 684
0.1823130964 	 0.1778246752 	 -0.0528785010 	 -0.0378540313 	 685
-0.4325852174 	 0.8132336552 	 0.8257056300 	 -0.3875964451 	 686
0.1084583809 	 0.1958200200 	 -0.0166552842 	 -0.0080698081 	 687
0.2541193782 	 0.8455573676 	 0.8845350349 	 0.2554201187 	 688
-0.4047888771 	 -0.5944303305 	 0.3663561635 	 -0.2062070359 	 689
-0.1118767347 	 0.8482467854 	 1.2042013745 	 -0.1573882136 	 690
