time = 0.001	Re = 1	rotation = 0
0.243191	-0.056960	5885	
0.135496	-0.279468	7869	
0.100896	0.191615	5261	
0.261291	-0.940232	3492	
0.110094	0.398320	1107	
0.281233	-0.203418	3028	
0.824423	-0.438585	7861	
0.468821	0.651255	7302	
0.768169	-0.523636	8393	
0.252814	0.096693	908	
0.772537	0.474429	6309	
0.648511	0.328533	9180	
0.359049	0.490249	4292	
0.603133	0.572035	6077	
0.154143	0.629031	8027	
0.723473	0.091167	1379	
0.258912	-0.804911	4474	
0.484122	-0.711241	5869	
0.819982	-0.339902	5687	
0.663033	-0.625439	8587	
0.716705	0.150149	1279	
0.470552	0.534608	8571	
0.550145	-0.374105	3943	
0.027014	-0.941335	1966	
0.043274	-0.654287	905	
0.459866	0.001075	2962	
0.915105	-0.161577	9024	
0.107241	-0.538276	1962	
0.945599	0.189359	1372	
0.356128	0.785067	4288	
0.301336	0.761888	2324	
0.122010	0.876337	5201	
0.180343	-0.468046	7467	
0.625569	-0.114429	3003	
0.736586	0.273338	4087	
0.300205	-0.352547	3066	
0.798210	0.063528	4077	
0.127554	0.173319	9227	
0.138716	0.737278	2021	
0.129609	0.338687	3671	
0.277505	-0.438142	3627	
0.800556	-0.458430	1377	
0.230982	-0.602998	1252	
0.430341	0.615381	529	
0.152536	0.233967	2232	
0.472583	0.292169	3744	
0.404005	0.519241	6311	
0.321452	0.444014	7863	
0.634610	0.048968	388	
0.485287	-0.663392	7036	
0.687761	0.211656	1407	
0.552498	-0.387699	1060	
0.394358	-0.134007	2783	
0.657937	0.451130	1084	
0.313183	0.229160	6907	
0.370345	-0.029947	486	
0.082075	0.157273	3645	
0.333975	-0.660082	6864	
0.265114	0.909626	1078	
0.473855	-0.411846	2845	
0.341851	-0.541948	7697	
0.564738	-0.566231	6007	
0.695837	-0.055170	6781	
0.159987	0.976653	6826	
0.397508	-0.221518	5474	
0.442288	-0.565300	678	
0.585842	-0.322144	4598	
0.481366	0.807700	1646	
0.168200	0.586635	2064	
