time,rotation,gamma,N1,N2,exp,,Re = 90
0,0,1,1123,0
55.599,8.84886,0.40354,793,337,0.45947537350545
55.799,8.88069,0.408805,784,329,0.45891601977039
55.999,8.91253,0.418312,790,324,0.45841490957269
56.199,8.94436,0.396658,794,343,0.45801388047696
56.399,8.97619,0.399119,794,341,0.45740032167219
56.599,9.00802,0.390694,792,347,0.45681750845547
56.799,9.03985,0.394854,786,341,0.45615627337092
56.999,9.07168,0.424215,794,321,0.45554325063721
57.199,9.10351,0.414069,794,329,0.45522996813084
57.399,9.13534,0.41364,798,331,0.45481835844953
57.599,9.16717,0.413945,801,332,0.45440657486503
57.799,9.199,0.429066,826,330,0.45400195911638
57.999,9.23084,0.43007,818,326,0.45375259952522
58.199,9.26267,0.431065,820,326,0.45351577352997
58.399,9.2945,0.427556,803,322,0.45329126579467
58.599,9.32633,0.435169,808,318,0.45303391313672
58.799,9.35816,0.430568,819,326,0.45285526400535
58.999,9.38999,0.431049,825,328,0.4526323913653
59.199,9.42182,0.44357,825,318,0.45241655745165
59.399,9.45365,0.437011,827,324,0.45232809187713
59.599,9.48548,0.435456,834,328,0.45217492095836
59.799,9.51731,0.436693,834,327,0.45200773174877
59.999,9.54915,0.433476,835,330,0.45185458443129
60.199,9.58098,0.443962,831,320,0.45167079858697
60.399,9.61281,0.43058,814,324,0.4515937106011
60.599,9.64464,0.421665,794,323,0.45138357349509
60.799,9.67647,0.420444,799,326,0.45108638776014
60.999,9.7083,0.414808,793,328,0.45077996388254
61.199,9.74013,0.406946,790,333,0.45042024424371
61.399,9.77196,0.404676,781,331,0.44998550180128
61.599,9.80379,0.40942,778,326,0.44953240678326
61.799,9.83562,0.39694,776,335,0.44913128271543
61.999,9.86746,0.394761,772,335,0.44860936988828
62.199,9.89929,0.387156,756,334,0.44807088618939
62.399,9.93112,0.389039,773,340,0.4474617373275
62.599,9.96295,0.403354,795,338,0.44687750995423
62.799,9.99478,0.399823,793,340,0.44644227485468
62.999,10.0266,0.381282,797,357,0.44597608210614
63.199,10.0584,0.366782,790,366,0.44532914128508
63.399,10.0903,0.378472,794,358,0.44454366987222
63.599,10.1221,0.374677,798,363,0.4438829531735
63.799,10.1539,0.384749,799,355,0.44319089364177
63.999,10.1858,0.367973,803,371,0.44260647470535
64.199,10.2176,0.37133,794,364,0.4418601399583
64.399,10.2494,0.376511,797,361,0.44115483855871
64.599,10.2813,0.375986,785,356,0.44050840017313
64.799,10.3131,0.390625,801,351,0.43986317617139
64.999,10.3449,0.397046,804,347,0.43937079440968
65.199,10.3768,0.414978,803,332,0.43894754646558
65.399,10.4086,0.42246,798,324,0.43870785100093
65.599,10.4404,0.438628,797,311,0.43854537249092
65.799,10.4722,0.439286,806,314,0.43854619876601
65.999,10.5041,0.442741,800,309,0.43855359677835
66.199,10.5359,0.427017,787,316,0.43859547081057
66.399,10.5677,0.428571,805,322,0.43847968610246
66.599,10.5996,0.421903,792,322,0.43838059924144
66.799,10.6314,0.410072,784,328,0.43821582324902
66.999,10.6632,0.406222,791,334,0.43793438501653
67.199,10.6951,0.398773,798,343,0.43761726116637
