time = 32	Re = 1	rotation = 5.0928
0.476575	-0.814564	9403	
-0.246996	0.844650	4350	
0.544108	-0.332088	4335	
0.617405	-0.098025	1601	
-0.707231	0.324354	5714	
0.529218	-0.275676	8359	
0.434366	0.172446	255	
0.656436	0.733865	7867	
0.700658	-0.681727	8331	
-0.701611	0.360555	6327	
0.322249	-0.283297	2999	
-0.706231	0.288952	5743	
-0.367598	-0.321780	1270	
-0.715716	-0.376179	7336	
-0.786591	0.389063	6999	
-0.230037	-0.364534	9314	
0.585216	0.036961	7393	
-0.124795	-0.297237	1204	
0.173973	-0.157599	6239	
0.192518	-0.186138	3942	
-0.929673	-0.106308	4061	
0.206100	-0.266328	8407	
-0.379867	-0.404824	1372	
-0.888849	0.269104	5405	
0.658520	0.281272	8737	
-0.230985	-0.184570	5884	
0.671044	0.135885	4472	
-0.332041	-0.413901	9817	
-0.181647	0.721807	5794	
-0.287470	0.636424	6948	
0.327900	-0.914813	7833	
-0.481121	0.124319	3049	
-0.462446	-0.434158	383	
0.078171	-0.507816	6233	
-0.096135	-0.425458	7054	
0.722090	-0.632945	9800	
-0.418927	-0.829778	7120	
-0.685544	-0.647422	360	
-0.886024	-0.355177	571	
0.488387	0.755384	7676	
-0.745648	0.182001	9667	
-0.256152	-0.467475	9829	
0.075206	0.062020	9466	
-0.491003	-0.005432	2853	
0.295670	0.408135	4905	
0.576338	-0.052186	919	
-0.589314	-0.342660	5087	
0.528125	0.532761	1248	
0.382882	0.680106	7636	
-0.040564	-0.434513	8405	
0.760231	-0.277259	3492	
0.571340	-0.302036	2575	
-0.736874	0.304253	5377	
-0.095161	-0.708727	6398	
-0.410994	0.630233	3244	
-0.365261	-0.108431	1078	
-0.641724	-0.680044	2340	
-0.879194	0.115890	6635	
0.095105	-0.068587	2880	
0.253259	0.003071	1165	
0.514161	-0.314736	730	
0.193448	-0.766563	6921	
0.492457	-0.459730	2785	
-0.765042	-0.046041	2006	
-0.165793	0.844512	1445	
-0.259003	-0.891820	1692	
0.449824	-0.591578	6692	
-0.161604	0.864535	3024	
0.723278	-0.642961	9800	
-0.005395	-0.280424	4383	
-0.351826	0.832866	3983	
-0.929913	-0.001615	5901	
0.859745	-0.109138	6895	
-0.420065	0.230175	6676	
0.614700	-0.709407	1333	
0.290531	-0.881302	7918	
-0.256018	-0.494450	6637	
-0.496326	0.086370	5857	
0.452308	-0.437452	7370	
0.285317	-0.122924	3887	
-0.780664	0.478156	7891	
-0.017223	0.683273	1475	
-0.138749	-0.404100	7118	
-0.303885	0.707305	5014	
0.512495	0.025942	2579	
-0.674775	-0.406485	3785	
0.246229	0.409902	1035	
0.184913	-0.609686	3182	
0.178769	-0.772706	6981	
0.609525	0.583354	9754	
-0.811157	0.422833	4777	
0.832421	-0.002658	4891	
0.329996	-0.199564	3204	
0.391443	0.246812	4851	
0.267778	-0.154353	4541	
0.108578	-0.205945	7958	
-0.632735	0.291840	5406	
-0.646744	-0.457981	1614	
-0.012762	-0.506858	9408	
-0.064205	-0.930384	1208	
0.642505	-0.272137	4128	
0.546748	-0.515119	5687	
0.310259	-0.508487	351	
-0.175425	0.715546	5794	
0.281475	-0.523117	8703	
0.818812	-0.063483	4265	
-0.439214	0.610953	2762	
0.618472	-0.030666	705	
-0.356684	-0.748965	6337	
0.364357	-0.203499	2254	
-0.399162	-0.367176	4491	
-0.226447	-0.892579	8031	
0.844515	0.509254	275	
-0.435565	0.198363	5655	
0.621047	0.099374	9714	
-0.474455	0.158233	5927	
-0.233686	-0.178078	748	
0.237546	-0.601917	4311	
0.590190	0.004177	783	
-0.639496	0.245588	4562	
0.323998	0.292603	5320	
0.687907	-0.104369	6807	
-0.426632	-0.338228	7779	
-0.027493	0.675035	9594	
-0.609977	-0.704822	8398	
-0.357334	0.606619	7063	
-0.237764	-0.789865	2978	
0.571800	0.435896	8187	
-0.292706	-0.854806	4764	
0.113802	0.742784	2840	
0.658908	0.158292	3467	
0.260385	-0.459274	3457	
0.194936	0.729265	8463	
-0.443039	-0.101506	6810	
0.133265	0.052408	3888	
0.492775	0.691249	7748	
0.048711	-0.357444	1373	
0.103273	-0.064067	2880	
0.338502	-0.735120	3262	
-0.504058	-0.820528	810	
-0.445382	-0.803109	8212	
0.236550	-0.599100	4311	
0.673634	0.306041	8661	
0.860763	-0.038598	6923	
-0.376052	-0.395473	2966	
0.741680	0.359562	7013	
-0.325748	0.370463	3516	
0.523843	-0.398494	3046	
0.550659	-0.776924	4570	
0.547644	-0.248356	900	
-0.398455	0.652784	6902	
0.049545	-0.396318	2413	
-0.233229	0.382456	347	
0.456675	0.491981	3241	
0.135169	-0.029236	4855	
-0.232249	-0.329014	3750	
0.046011	-0.405992	4549	
0.510861	-0.273762	246	
-0.335904	0.363234	2068	
0.019185	-0.776387	3028	
0.601835	0.659716	369	
0.172221	0.628409	812	
0.417001	-0.879806	5153	
0.179989	-0.768859	6747	
