time = 0.001	Re = 1	rotation = 0
0.648511	0.328533	5602	
0.359049	0.490249	4923	
0.603133	0.572035	5185	
0.154143	0.629031	2368	
0.723473	0.091167	8663	
0.258912	-0.804911	8994	
0.484122	-0.711241	2802	
0.819982	-0.339902	8478	
0.663033	-0.625439	8390	
0.716705	0.150149	557	
0.470552	0.534608	5842	
0.550145	-0.374105	7282	
0.027014	-0.941335	8962	
0.043274	-0.654287	7976	
0.459866	0.001075	7117	
0.915105	-0.161577	8208	
0.107241	-0.538276	6712	
0.945599	0.189359	372	
0.356128	0.785067	8016	
0.301336	0.761888	3922	
0.122010	0.876337	6900	
0.180343	-0.468046	644	
0.625569	-0.114429	2923	
0.736586	0.273338	2360	
0.300205	-0.352547	9174	
0.798210	0.063528	4017	
0.127554	0.173319	4558	
0.138716	0.737278	3537	
0.129609	0.338687	3486	
0.277505	-0.438142	1400	
0.800556	-0.458430	7463	
0.230982	-0.602998	2533	
0.430341	0.615381	2544	
0.152536	0.233967	4762	
0.472583	0.292169	950	
0.404005	0.519241	6259	
0.321452	0.444014	1557	
0.634610	0.048968	2986	
0.485287	-0.663392	8536	
0.687761	0.211656	7169	
0.552498	-0.387699	7282	
0.394358	-0.134007	6571	
0.657937	0.451130	7587	
0.313183	0.229160	4054	
0.370345	-0.029947	4390	
0.082075	0.157273	681	
0.333975	-0.660082	4650	
0.265114	0.909626	752	
0.473855	-0.411846	4765	
0.341851	-0.541948	3991	
0.564738	-0.566231	8660	
0.695837	-0.055170	5976	
