time = 0.052	Re = 40	rotation = 5.07201e-06
0.433901	-0.190007	2082	
0.101184	0.657194	408	
0.412886	-0.347240	1179	
0.114770	-0.377029	2337	
0.791526	0.541701	3300	
0.799819	0.465765	3328	
0.866625	-0.369414	619	
0.306202	-0.904834	3417	
0.266147	-0.852488	2620	
0.401322	0.640937	2443	
0.297997	0.580943	1293	
0.255765	0.173584	2923	
0.137564	-0.237784	3265	
0.439911	0.352164	1310	
0.705549	0.137285	2076	
0.684416	0.301978	2752	
0.757719	0.015611	1169	
0.200953	-0.370653	3101	
0.137294	0.812028	3159	
0.646803	0.022608	2564	
0.400455	-0.675069	1562	
0.153011	-0.732106	1218	
0.192325	0.730147	2727	
0.253282	-0.279878	1759	
0.932924	0.000899	502	
0.559939	0.686297	2608	
0.590685	0.116921	2053	
0.329830	0.720050	465	
0.290754	0.546740	907	
0.420236	0.635010	2447	
0.666330	0.548471	2322	
0.756578	0.537546	1727	
0.418064	-0.587496	1185	
0.873302	-0.123709	2602	
0.916073	0.315070	2814	
0.511643	0.154933	1556	
0.568356	-0.701344	2777	
0.699080	-0.612426	257	
0.194248	-0.851825	3444	
0.311827	0.886316	308	
0.321732	0.872207	233	
0.080903	-0.557325	1821	
0.267336	-0.250349	1937	
0.592878	-0.190835	2347	
0.268735	-0.024161	848	
0.702332	-0.585076	3149	
0.179710	-0.668383	1397	
0.128753	-0.414403	347	
0.710237	-0.303175	1452	
0.096168	0.256984	436	
0.782997	-0.154983	2495	
0.658979	0.207332	1512	
0.649960	-0.128583	2788	
0.447243	0.654976	2448	
0.514139	0.659551	2503	
0.753873	-0.516073	2604	
0.781206	0.294446	2554	
0.233534	0.030676	449	
0.229556	0.455969	1863	
0.302563	-0.001760	3052	
0.185284	-0.610176	579	
0.779225	-0.180137	2334	
0.238388	-0.408447	958	
0.747543	0.558303	3234	
0.065576	0.699732	482	
0.203853	-0.718887	704	
0.543922	-0.239953	1893	
0.093285	0.766765	2282	
0.518303	-0.281682	1243	
0.503167	0.645157	2503	
0.127020	0.759626	2630	
0.576003	0.256315	2436	
0.612836	-0.530463	1998	
0.377707	-0.503044	804	
0.547047	0.739786	3401	
0.202557	0.174713	3341	
0.337067	0.506309	1850	
0.456285	-0.159037	2526	
0.149317	-0.287807	292	
0.666834	0.046356	1083	
0.507667	0.318754	2004	
0.298874	-0.546593	604	
0.079982	0.407943	3078	
0.657824	-0.229751	3123	
0.092062	-0.438050	359	
0.700892	-0.105730	1106	
0.913204	0.171192	667	
0.710321	0.044716	1239	
0.443153	-0.686303	2210	
0.375422	0.618152	2378	
-0.063913	0.906038	534	
0.678709	-0.348981	1591	
0.509642	-0.450404	1316	
0.426835	0.294025	1497	
0.689191	-0.324225	1291	
0.023693	-0.245453	2527	
0.381097	-0.163860	1571	
0.090552	0.843430	2690	
0.755115	-0.632310	1319	
0.464733	0.233134	856	
0.723074	0.368692	1498	
0.637897	-0.719823	2551	
0.503593	0.761256	3029	
0.662043	-0.060871	1118	
0.491712	-0.555703	1009	
0.422084	-0.748397	1916	
0.174954	0.599227	758	
0.439131	0.700633	971	
0.330023	-0.223671	2209	
0.652006	0.093976	1398	
0.766423	0.564805	3234	
0.569075	0.185497	2292	
0.724113	0.254132	2994	
0.559246	0.017829	1632	
0.442950	-0.146854	2966	
0.570740	0.394214	2587	
0.223607	0.123528	215	
0.126315	-0.437401	347	
0.556494	-0.072850	1681	
0.429803	0.326850	1257	
0.356000	-0.218329	1991	
0.098845	0.803286	825	
0.275681	-0.845098	2620	
0.126695	0.670940	2965	
0.937781	-0.261292	1321	
0.318546	0.724983	465	
0.645263	-0.079643	1118	
0.285160	0.350552	1211	
0.813839	-0.192622	3205	
0.454346	0.303871	1549	
0.566774	0.494159	2314	
0.851154	0.122716	2968	
0.067182	-0.231235	572	
0.674446	0.630624	2791	
0.456443	0.614783	2522	
0.911030	0.195197	667	
0.408543	-0.527704	1115	
0.725332	0.252793	2994	
0.470638	-0.337941	1236	
0.143480	0.772975	2733	
0.085945	-0.368280	1564	
0.575287	0.386936	2587	
0.289880	-0.473960	2022	
0.379546	-0.815877	2385	
0.944850	-0.154977	3114	
0.209353	-0.306695	1527	
0.214475	-0.480443	1633	
0.779597	-0.490036	3217	
0.690389	0.217768	2415	
0.137139	0.541126	3474	
0.320161	-0.915279	3450	
0.372830	0.485874	1577	
0.544289	-0.028918	1459	
0.875246	-0.036542	2418	
0.551625	-0.620288	1901	
0.122508	0.225934	2490	
0.734882	-0.392204	2003	
0.053803	-0.526718	231	
0.089130	0.675493	2954	
0.770433	-0.390646	1992	
0.281863	0.878604	230	
0.684240	0.654499	1548	
0.468424	-0.326902	1236	
0.138420	0.249895	3028	
0.120701	0.481636	226	
0.549903	-0.063499	1681	
0.742847	0.248487	3081	
0.407964	-0.185796	2082	
0.472364	-0.003786	1076	
0.037802	-0.539496	231	
0.488139	-0.392396	2128	
0.295160	-0.539418	604	
0.585607	0.789380	2877	
0.554643	0.312978	2028	
0.293654	-0.371958	1103	
0.494371	0.156635	1337	
0.566783	-0.455549	1842	
0.150517	-0.260804	338	
0.774906	0.227790	3041	
0.203046	-0.525908	2636	
0.912393	-0.168400	2740	
0.728608	0.003075	837	
0.243676	-0.055891	371	
0.141277	-0.276758	292	
0.102729	0.189874	2511	
0.287738	-0.932485	3315	
0.107332	0.400152	210	
0.286587	-0.196176	1434	
0.842934	-0.402494	3274	
0.436901	0.676629	902	
0.790366	-0.489046	3217	
0.252859	0.098315	332	
0.749598	0.510490	2163	
0.633503	0.358465	1453	
0.340621	0.509732	1850	
0.575381	0.601702	3031	
0.133943	0.656286	443	
0.718980	0.123867	1869	
0.295832	-0.792326	2828	
0.516318	-0.688155	2486	
0.834913	-0.301722	2156	
0.690461	-0.594785	3149	
0.709614	0.182607	2308	
0.446584	0.558942	2639	
0.566015	-0.349776	2323	
0.067427	-0.939464	3307	
0.071639	-0.651800	552	
0.460217	0.017869	1186	
0.921381	-0.120784	3305	
0.128938	-0.533528	1692	
0.937244	0.223974	3013	
0.313134	0.807547	767	
0.259275	0.784405	753	
0.059465	0.886445	384	
0.022428	-0.293737	1037	
0.198275	-0.460814	897	
0.630226	-0.087289	871	
0.723536	0.307429	2703	
0.312965	-0.341408	425	
0.794677	0.100285	2253	
0.086873	0.766855	2282	
0.127396	0.339572	225	
0.294543	-0.426953	1306	
0.820116	-0.422099	3131	
0.256767	-0.592503	2064	
0.401328	0.639515	2443	
0.152851	0.233551	3079	
0.461810	0.312543	1584	
0.382339	0.541051	2479	
0.307083	0.460520	1707	
0.955728	0.187080	3194	
0.632386	0.076592	1559	
0.515120	-0.640492	2142	
0.678016	0.242858	1743	
0.569015	-0.363129	2396	
0.398978	-0.120950	2668	
0.636564	0.482479	2401	
0.308608	0.238568	2261	
0.371583	-0.019462	2469	
0.363192	-0.644501	1159	
0.216330	0.923710	3058	
0.491082	-0.391210	2128	
0.364880	-0.526742	1462	
0.589950	-0.539885	1953	
0.697875	-0.024055	761	
0.405455	-0.207189	2082	
0.467007	-0.545088	1600	
0.967307	-0.123547	1271	
0.599498	-0.296259	2299	
0.441644	0.830925	636	
0.152502	0.607885	3096	
0.482502	-0.465979	1113	
0.708783	-0.479666	2525	
0.162998	-0.335279	1388	
0.279117	0.476399	1809	
0.788837	-0.451874	2675	
0.218343	0.421775	1928	
0.863257	0.254209	3397	
0.852024	0.080370	2381	
0.403086	-0.405315	2279	
0.179619	-0.694072	1397	
0.447003	-0.099530	700	
0.036722	-0.480670	2951	
-0.062101	0.753401	301	
0.562153	-0.652946	1742	
0.466196	-0.274013	650	
0.644621	0.128443	980	
0.430744	-0.016342	1240	
0.874612	0.172118	2911	
0.156373	-0.908426	208	
0.515035	0.793797	422	
