time = 10.002	Re = 10	rotation = 3.52112e-11
0.254025	0.612094	2069	
-0.784498	-0.473947	1577	
0.449324	-0.562805	671	
0.186950	-0.787987	862	
0.155373	0.308367	3226	
-0.429642	0.195026	3848	
-0.303450	-0.101561	3589	
-0.469780	-0.516969	1016	
-0.427901	0.294046	10188	
-0.145963	-0.078908	10657	
0.226429	0.617833	10179	
0.775045	0.388653	5307	
0.435093	0.516131	3313	
-0.124892	0.251576	6396	
0.942069	-0.309450	10552	
-0.780248	0.184073	2660	
-0.220966	0.258754	446	
-0.326199	-0.877084	8524	
-0.267549	0.601797	10027	
-0.090695	0.703518	8439	
-0.809918	0.064525	6145	
0.305848	0.377927	2260	
0.896902	0.011877	1499	
-0.776978	0.467978	8139	
-0.258429	-0.934857	8583	
0.084419	0.260338	4830	
-0.490252	0.577630	2728	
0.472388	0.558655	4754	
-0.591252	-0.512938	10123	
-0.157501	-0.765889	1771	
0.204101	0.234073	4425	
0.379189	0.321798	2265	
0.153066	0.580599	7221	
0.859368	-0.151543	8881	
-0.038421	0.299134	3785	
0.874992	-0.454935	9093	
-0.583730	0.054871	2107	
-0.321259	0.299700	4097	
0.431922	0.134616	4013	
0.610223	-0.349090	7593	
0.135456	0.207886	6247	
0.661359	0.045537	10906	
0.119747	0.531225	4351	
0.284762	0.149971	2256	
0.363193	0.423186	5517	
-0.464441	0.152908	3160	
-0.254822	0.563146	6973	
-0.517099	-0.072732	3781	
0.519685	0.369213	10595	
-0.111273	-0.989648	7263	
-0.275610	0.174083	9177	
-0.245775	-0.944813	4341	
0.452933	0.708947	8875	
-0.615780	0.641746	8560	
0.839995	-0.099901	9736	
-0.517985	0.214596	395	
0.316158	0.562593	5803	
-0.979307	0.060101	2313	
-0.125670	-0.769988	2994	
-0.518886	0.795658	759	
-0.037275	0.544539	5440	
-0.353850	0.462263	10561	
-0.578936	0.695094	7352	
0.469857	0.016947	6217	
0.797026	-0.347919	10004	
-0.206920	0.713694	3625	
0.675505	-0.438340	9044	
0.657826	0.154143	1121	
0.372625	0.369169	5756	
-0.409881	0.205335	5658	
0.522771	0.334001	8252	
-0.834338	0.446830	10666	
0.028169	0.415140	4703	
-0.636799	-0.177698	5104	
-0.523309	0.507556	10240	
0.312578	0.335831	1176	
0.141326	0.617840	8833	
-0.093861	0.132046	9307	
0.500161	-0.845120	6970	
0.374104	0.527085	7738	
-0.093461	0.398827	3722	
-0.261696	0.028162	2776	
-0.707494	-0.598238	8922	
0.357972	0.400146	4441	
0.406584	0.374829	7406	
0.809130	-0.288636	8375	
0.238375	0.225137	6144	
-0.018278	0.360070	2399	
-0.541605	0.076245	2989	
0.276643	0.190669	4405	
-0.953162	-0.182117	1047	
-0.682765	-0.391801	7130	
0.296456	0.249555	7451	
-0.917350	0.282067	1454	
0.180875	-0.833118	5873	
-0.015639	0.488194	2167	
0.027544	0.118628	1165	
0.044152	0.424600	5673	
0.282975	0.334128	9354	
-0.062451	-0.817387	4826	
0.470004	0.465634	5892	
-0.099339	0.258359	7760	
0.719914	0.453223	7654	
-0.955728	-0.239359	2357	
0.785523	-0.211046	7718	
0.225168	0.695801	977	
-0.617272	0.652136	9708	
0.598481	0.631210	4177	
-0.413095	-0.056974	634	
0.175689	-0.712221	961	
-0.453173	-0.535123	4757	
-0.318722	0.045960	2395	
-0.729662	-0.584237	10725	
-0.083786	0.453457	2257	
0.341540	-0.782889	1780	
0.385553	-0.716023	8772	
-0.101060	0.668227	4800	
0.264551	0.543336	5845	
-0.909967	0.177405	9990	
-0.324478	0.228837	1231	
-0.068012	0.935411	9198	
0.421788	0.731094	8823	
-0.775424	0.089334	8946	
-0.832774	-0.011439	5971	
0.284511	0.508940	4184	
-0.232685	0.017352	2034	
0.421715	0.534073	9806	
0.609237	0.573660	2196	
-0.391062	-0.086303	8987	
-0.103728	0.350549	1293	
0.294982	0.268801	10153	
-0.604559	0.406336	4158	
-0.499229	-0.841663	9427	
0.767119	0.326076	7391	
0.111050	0.867733	9619	
-0.282534	-0.744566	3196	
0.128499	0.676144	5624	
-0.789168	-0.016164	944	
-0.811662	-0.509571	8924	
0.349104	0.333463	3340	
-0.090711	0.054383	3047	
0.505850	0.440386	5498	
-0.420212	0.073406	3533	
0.541822	0.385850	6019	
-0.782770	0.527196	10910	
0.252261	0.216063	6258	
0.835828	0.244393	4081	
-0.651160	-0.710789	10258	
-0.463112	0.473934	7186	
0.348209	0.408265	5066	
-0.582714	-0.144683	4100	
-0.146657	0.436475	7645	
-0.541577	0.061009	3600	
-0.478045	0.107853	1513	
-0.002923	0.272804	1705	
-0.179426	-0.812058	4911	
-0.909770	-0.206712	1528	
-0.584262	-0.459606	3629	
-0.038508	0.521255	3672	
-0.263456	0.382188	10570	
0.848034	-0.175963	2312	
-0.352943	0.294891	3776	
-0.328211	0.547048	6291	
0.838647	0.210561	10746	
-0.156106	-0.008955	5347	
0.243412	0.248631	4840	
-0.115325	0.652282	4275	
-0.661454	0.127825	6621	
0.222597	0.601491	7005	
-0.082073	0.324798	5429	
-0.513405	0.108362	3688	
0.161720	0.553847	9969	
-0.288486	0.190708	3874	
-0.475655	-0.054464	5055	
-0.701901	0.049443	6807	
0.178836	0.667308	4965	
-0.479882	-0.855495	10502	
0.167773	0.511137	2249	
-0.374056	0.607887	5534	
0.474249	0.755551	5752	
-0.274730	0.110426	1628	
-0.330866	0.381708	3081	
-0.585832	-0.339373	7245	
-0.048128	-0.968677	6159	
-0.787799	-0.133215	1136	
-0.905508	-0.218848	1528	
0.783623	-0.347268	10004	
-0.941814	-0.173662	1227	
-0.409851	-0.055163	634	
0.139916	0.400460	3647	
-0.507461	-0.829376	3814	
0.489587	-0.656522	5531	
0.099181	0.312249	7009	
-0.815900	-0.522113	4962	
0.174409	0.627713	3862	
0.605182	0.345489	7525	
-0.458091	-0.692362	6058	
-0.687652	-0.332070	8990	
-0.587238	0.120040	9048	
-0.707095	0.631230	2534	
-0.209190	0.738974	4213	
0.213555	0.406756	4985	
0.548029	0.352419	9808	
-0.694258	-0.591789	8922	
-0.240625	0.616204	1654	
-0.778650	0.502270	11021	
-0.624022	0.227795	2046	
-0.159957	0.274296	8554	
0.075195	0.205653	3303	
-0.702034	-0.205565	5571	
0.061360	0.459484	2051	
-0.022806	-0.794445	2382	
-0.054798	0.207611	4646	
-0.738265	0.242090	8235	
-0.219611	-0.094521	924	
0.107230	0.085739	4147	
0.685175	0.508196	7660	
0.226970	0.447033	833	
0.230184	0.650251	5860	
0.115780	0.416451	5776	
0.763503	0.485366	8538	
-0.449878	-0.055488	692	
0.669004	-0.190020	2668	
-0.171783	0.481020	4942	
-0.057654	0.564379	7863	
0.335715	0.503928	5823	
0.181483	-0.943497	1529	
-0.438598	0.073381	3370	
0.332245	0.314868	4759	
-0.127955	0.687397	6699	
-0.088654	0.276825	1317	
-0.214835	0.393559	1024	
0.320592	0.280595	10466	
-0.022332	0.689242	9473	
0.425733	-0.869630	1433	
-0.311781	0.182540	7785	
-0.844393	0.345969	8929	
0.010634	0.311012	3924	
-0.031353	0.230187	5474	
-0.011612	0.590745	1118	
0.055633	0.504851	2295	
0.008876	0.886912	8916	
-0.960627	0.058233	5282	
0.772185	0.394845	8268	
0.231620	0.861762	6832	
0.307698	0.840221	5178	
0.814824	0.337612	7206	
0.135939	0.920856	2059	
0.035613	0.349695	6986	
0.287349	0.377477	3567	
-0.670770	0.354594	4938	
0.218003	0.425431	6948	
-0.327231	0.822327	10111	
-0.283427	0.188331	8062	
-0.660422	0.275920	8204	
-0.662796	-0.645890	10676	
-0.452364	-0.103403	6576	
0.858035	0.150711	5126	
-0.450646	0.438780	7258	
0.397120	0.368058	6290	
-0.421999	-0.841116	785	
-0.033295	0.514374	2368	
0.007172	0.530019	4548	
-0.580562	0.160467	4871	
-0.863426	-0.444307	3545	
-0.480719	-0.602276	10544	
0.585659	0.223865	3763	
-0.604513	0.429828	5010	
0.530675	0.649891	3691	
0.343464	0.771033	10406	
-0.729118	-0.555738	8412	
-0.302711	-0.739769	10264	
0.003717	0.125236	1331	
0.798309	0.387952	5307	
-0.314250	0.419522	6315	
-0.961421	-0.029892	5363	
0.628658	0.030000	10026	
-0.378610	0.460645	9890	
0.304725	0.794241	7766	
-0.777160	-0.054423	1696	
-0.650093	0.422969	8573	
-0.910697	0.304112	4139	
-0.184741	0.752237	3746	
-0.450998	-0.048435	692	
-0.546804	-0.090576	9437	
0.512670	-0.636995	2309	
0.622965	0.581599	7812	
-0.715109	-0.229014	8359	
0.902252	0.105170	10737	
0.849465	0.086997	631	
0.447161	0.303569	1594	
-0.039316	0.113543	2027	
0.016150	0.759094	1959	
-0.609693	0.100747	9576	
0.495339	-0.514144	3720	
0.716994	0.060256	2706	
0.169660	0.361340	470	
0.487887	0.452816	7093	
-0.498805	-0.564975	7115	
0.276256	0.569478	3947	
0.820765	-0.224246	10594	
-0.640917	0.612490	5209	
0.143188	-0.958813	6016	
0.150110	0.402288	4990	
-0.162290	0.876089	6819	
0.705147	0.460897	5736	
0.232446	-0.781767	3008	
0.741660	-0.394976	7603	
-0.605412	0.713651	3296	
-0.105729	0.682436	5305	
-0.884029	0.410503	3427	
-0.646394	0.718896	5635	
-0.225689	0.053022	6661	
-0.364686	0.062351	713	
0.293849	-0.794259	7925	
0.090293	0.449608	4819	
-0.386575	0.583128	2490	
-0.369702	0.125777	7040	
-0.396773	0.056691	3482	
0.498189	0.773389	10445	
-0.237989	-0.035423	5953	
-0.843240	0.322219	9116	
-0.311635	-0.925876	8545	
-0.626994	-0.732653	727	
-0.886966	-0.213825	1540	
0.156723	-0.715940	1677	
0.163059	0.603125	3351	
-0.192060	0.291933	10788	
0.493031	0.257268	3741	
-0.820057	-0.505071	9316	
-0.314141	0.135863	2223	
-0.409452	0.605083	4492	
0.823431	0.154468	9418	
0.029026	0.268268	6560	
-0.044922	0.117005	1189	
0.332361	0.205329	5590	
0.010881	0.326028	5368	
0.289317	-0.765193	6494	
-0.564216	0.373608	10683	
0.318542	-0.758455	8845	
-0.071201	0.188590	1406	
0.801779	-0.301456	7337	
-0.693992	0.208978	754	
-0.403575	0.792020	5611	
0.271315	0.543390	6322	
0.029683	0.866324	7598	
0.041429	0.735741	10903	
0.150849	0.161170	4801	
0.393675	0.499373	2624	
-0.690198	0.048440	2217	
-0.600652	0.716279	3296	
-0.426314	-0.094634	2370	
-0.325012	0.284615	9114	
-0.389135	0.292937	6380	
0.046693	-0.814997	4591	
0.334599	0.374895	3240	
-0.467384	0.173086	7314	
0.235454	-0.761432	2812	
-0.234630	0.619761	1654	
0.719264	0.474794	7458	
-0.422687	0.809827	6286	
0.792234	0.258890	6805	
-0.035540	-0.802744	2382	
-0.303861	0.395123	4617	
0.532721	-0.587727	3181	
0.255131	0.339882	9788	
0.365270	0.393197	7408	
0.052387	0.661903	4817	
-0.174113	0.929907	762	
-0.061165	0.286649	2113	
-0.773422	0.425640	6842	
0.187060	0.313465	4219	
0.320614	0.233626	7211	
0.411836	0.546226	9806	
0.574413	-0.579793	10732	
-0.108851	0.238527	6792	
-0.504338	0.316514	8306	
0.361014	0.436834	5517	
-0.055098	0.255015	841	
-0.216229	0.495449	5316	
-0.994794	-0.003222	2270	
-0.163007	0.132578	4427	
0.204884	0.479397	4797	
0.686281	0.469954	5508	
-0.131897	-0.813265	4889	
-0.608090	0.152600	1613	
0.442878	0.809668	1112	
-0.598519	0.169192	507	
0.680432	0.530554	5253	
-0.912855	0.256063	3343	
0.117447	0.342534	10878	
-0.445687	0.497901	6467	
-0.665507	0.690318	9716	
-0.524265	-0.455834	1719	
-0.459999	-0.127238	3216	
0.785536	-0.278607	4179	
-0.130855	0.563119	9973	
-0.373675	0.060950	653	
-0.141951	0.042068	5449	
0.273482	0.347630	485	
-0.947197	0.184669	10528	
0.210086	0.415883	4985	
-0.646886	0.390429	7468	
-0.048417	0.387368	3707	
-0.145906	0.930615	430	
-0.285434	0.414881	4096	
-0.172561	-0.064516	10050	
0.041845	-0.795700	3755	
0.753580	-0.425744	7673	
0.782305	0.249946	8960	
-0.155843	0.349301	8400	
0.424861	0.364172	6591	
0.269286	-0.810768	5828	
-0.200205	0.529104	7415	
-0.561478	-0.096189	3147	
0.028518	0.930412	5904	
-0.433657	0.787293	6242	
0.047940	0.342341	8068	
-0.684991	-0.682607	5556	
-0.250292	-0.751707	3740	
0.762256	0.055203	7884	
0.345163	0.435404	6845	
-0.473984	0.585294	4588	
0.717343	0.519548	7375	
-0.670871	0.687254	9716	
-0.279914	-0.906225	581	
0.366592	0.817537	6373	
-0.396505	-0.689654	6604	
-0.233497	0.128816	8998	
-0.265781	0.617179	7891	
-0.658325	0.370532	3996	
-0.437290	0.354778	5697	
-0.924584	0.042526	465	
-0.309176	-0.930920	8545	
-0.144053	-0.048676	5381	
-0.006950	0.647553	3780	
-0.632015	-0.173196	5104	
-0.870918	0.422900	10249	
-0.261073	-0.057065	8504	
0.350264	0.147651	7096	
0.037858	0.204946	2338	
0.301263	-0.662647	488	
-0.428533	-0.041842	929	
-0.806004	-0.057007	1397	
0.889105	-0.145746	1259	
-0.127900	0.372254	1196	
0.896290	-0.081202	9256	
-0.514345	0.426641	4658	
0.015175	0.239045	5407	
-0.857985	-0.416608	10328	
0.269026	-0.924441	11014	
0.116211	0.228975	7041	
-0.207241	0.893653	9527	
-0.430202	0.357695	5697	
-0.331329	-0.897012	2120	
-0.157367	0.355070	8400	
-0.786666	-0.162290	8529	
-0.807389	0.377373	10341	
-0.961672	-0.116218	2157	
-0.279701	0.456938	6333	
-0.145237	0.425281	5299	
-0.472448	0.334427	7935	
0.052279	0.659865	4817	
-0.292403	0.864319	6582	
0.392069	0.334834	2278	
-0.053852	0.621985	440	
0.083364	0.460089	4819	
-0.476491	0.220656	629	
0.546849	-0.575109	3181	
-0.131897	-0.816944	4889	
-0.384381	-0.088474	9221	
0.709938	0.542214	8249	
-0.297046	0.011598	5140	
0.286391	0.206902	6475	
-0.700589	0.335331	1896	
-0.315239	-0.081869	2402	
0.770560	-0.237758	2587	
-0.311570	-0.035464	7857	
0.184863	0.749737	1379	
0.076826	0.602416	4996	
0.624239	-0.296785	7048	
0.614369	-0.544140	1346	
0.064315	0.200091	3664	
-0.626438	0.359014	7524	
0.842678	-0.263270	8601	
-0.072115	0.914933	7244	
0.650289	0.257133	8339	
-0.089024	-0.797243	4047	
-0.070777	-0.814179	4826	
-0.187689	-0.008165	8721	
-0.479715	-0.121069	431	
0.102548	0.701554	6586	
0.759359	0.063892	9301	
-0.365100	0.131924	7040	
0.727757	-0.068771	363	
-0.815166	-0.037511	1902	
-0.765368	0.597062	5175	
-0.382472	0.237626	1312	
-0.025235	-0.944657	9195	
-0.498294	0.482717	11032	
-0.602287	-0.702585	9277	
-0.115079	0.443468	9909	
-0.044163	0.929943	6594	
0.848214	-0.052145	2918	
-0.932391	-0.152700	10282	
-0.436563	-0.863725	8802	
-0.270483	0.901933	9404	
-0.750104	0.009118	10321	
-0.002794	0.340622	7924	
-0.742965	-0.253597	9416	
-0.128273	0.598108	2843	
-0.722247	-0.313069	2821	
-0.483510	-0.815787	553	
-0.662645	0.407144	8580	
-0.865404	-0.406926	10031	
-0.052430	0.634242	3518	
-0.910542	-0.263025	781	
0.027193	0.149359	8795	
0.342162	0.560121	6992	
0.496924	-0.649224	2975	
-0.840781	-0.380792	1007	
0.355677	0.424417	5517	
-0.549968	-0.547972	5731	
0.281794	-0.757737	5826	
0.198066	0.372972	2564	
-0.263964	0.649630	4241	
-0.533289	0.028636	10575	
-0.389216	0.232159	5680	
-0.209537	0.476047	5118	
-0.687177	-0.361278	10572	
0.618191	0.310068	4019	
-0.048961	0.526822	4696	
0.327731	0.598024	520	
